buyer_key,buyer_name,n_live_contracts,expected_renewals_12m,expected_renewals_24m,max_p12,high_risk_contracts
SIREN:234400034,Conseil régional des Pays de la Loire,93,3.1738250371562775,5.525686252134853,0.0481962013406481,0
SIREN:794304097,Nantes Métropole,93,2.422340907380204,4.243310595128412,0.0446181130220523,0
SIREN:264400136,CHU de Nantes,51,1.467198279452927,2.563140498560916,0.0446801976246699,0
SIREN:228500013,Département de la Vendée,31,1.130734685790278,1.9653282468870419,0.0487700726335769,0
SIREN:244900015,Angers Loire Métropole,35,1.0954967781585585,1.9116803592013765,0.0446801976246699,0
SIREN:391722881,GIE SESAM Vitale,32,1.0680347401071897,1.861541857787025,0.0446801976246699,0
SIREN:935367433,Conseil départemental Loire-Atlantique,29,1.0286539418861158,1.7895450939452884,0.0446646687581937,0
SIREN:194909701,Université d'Angers,30,0.8798391371440869,1.5380748229987575,0.0388045010338214,0
SIREN:247200132,Le Mans Métropole - Communauté Urbaine,25,0.6858416782057744,1.1999362102829898,0.0406913983823903,0
SIREN:217500016,Ville du Mans,22,0.679756576838686,1.1861205032112583,0.0461080467345095,0
SIREN:214401846,Commune de Saint-Nazaire,24,0.6525042466772255,1.1427458635969547,0.0381150736247933,0
SIREN:488538877,Le Mans Métropole,15,0.6075105652746938,1.0538581975432866,0.0487531948488082,0
NAME:ch mans,CH LE MANS,25,0.5453980448375323,0.958961856761933,0.0319160938770618,0
SIREN:935367433,Conseil départemental Loire Atlantique,13,0.49703186374756503,0.8631257754821245,0.0487700726335769,0
SIREN:227200029,Département de la Sarthe,15,0.4961694279625508,0.8646967516349817,0.0417173786888639,0
SIREN:130029747,Université de Nantes,18,0.4623885985472815,0.8106696794463708,0.0354564501526742,0
SIREN:227200029,DEPARTEMENT DE LA SARTHE,16,0.4467440460191438,0.7821160131993014,0.044633626458414,0
SIREN:532458809,Ville d'Angers,15,0.4400350997408929,0.7692278961167573,0.0369488280204458,0
SIREN:284400017,SDIS 44,17,0.4379152413876165,0.7673746805833411,0.0389399903463868,0
SIREN:546650169,Vendée Expansion,10,0.4262901039256577,0.7380554713734064,0.0446801976246699,0
NAME:ctre hosp universitaire angers,CTRE HOSP UNIVERSITAIRE ANGERS,19,0.4181204618274382,0.7352990213467009,0.0279664113470554,0
NAME:cnieg,CNIEG,17,0.4172684438482883,0.7325394676510713,0.0318711537070138,0
