variable,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),rule_name,c_index,n_events,n_rows
dur_was_imputed,-0.09896476848901307,0.9057746192698549,0.12343080884905723,-0.34088470841581303,0.1429551714377869,0.7111408920403194,1.1536780827770696,0.0,-0.8017833587239672,0.4226782865084193,1.2423680935932624,balanced,0.5920423969378259,269,1210
category_model_IT Services & Consulting,0.2451379950510364,1.2777976307884047,0.1238523721642946,0.002391806209167874,0.4878841838929049,1.0023946688594856,1.6288661901067427,0.0,1.9792757358401831,0.047784969929202434,4.387299279066828,balanced,0.5920423969378259,269,1210
category_model_Other,0.17436284485068992,1.1904874497031386,0.1549980229052881,-0.12942769771858914,0.478153387419969,0.878598110767665,1.6130928925653707,0.0,1.1249359287455862,0.2606161856570739,1.9400014091314717,balanced,0.5920423969378259,269,1210
category_model_Software & Applications,-0.09119025103005012,0.9128440248618108,0.1450176916990583,-0.37541970388133755,0.1930392018212373,0.6870008813380606,1.2129303416655537,0.0,-0.6288215593673133,0.5294658839154864,0.9173903675944388,balanced,0.5920423969378259,269,1210
category_model_Telecom & Networks,-0.17616706786729716,0.8384778889220843,0.14852417706099133,-0.46726910574029024,0.11493497000569589,0.6267114160782071,1.1218004845207772,0.0,-1.186117111390924,0.23557605390475023,2.085735196927127,balanced,0.5920423969378259,269,1210
category_model_Unknown,-0.3249586407990357,0.7225572374140738,0.19806607673231624,-0.7131610177535224,0.06324373615545092,0.4900925551009033,1.0652864564163138,0.0,-1.6406577348336793,0.10086848302328678,3.30945262895511,balanced,0.5920423969378259,269,1210
declared_duration_months,0.003264943883066435,1.003270279617724,0.0041439299072557724,-0.004857009489613285,0.011386897255746155,0.995154766707563,1.0114519747459663,0.0,0.7878858851713959,0.4307634580546029,1.2150322245768161,strict,0.6065309563363169,79,1210
start_year,0.023591075458183376,1.0238715460705639,0.03470466822060637,-0.04442882434961686,0.09161097526598361,0.9565436802893306,1.0959383919988248,0.0,0.6797666327833054,0.49665223744219256,1.0096920840061767,strict,0.6065309563363169,79,1210
dur_was_imputed,0.059407966855594796,1.061208090167723,0.1639581923284185,-0.26194418507839684,0.38076011878958643,0.7695539751036901,1.463396521973246,0.0,0.3623360687985443,0.7171009077328745,0.4797519510750286,strict,0.6065309563363169,79,1210
category_model_IT Services & Consulting,0.19795567823119908,1.2189083684495057,0.15920174315022242,-0.11407400461923312,0.5099853610816313,0.8921919271153727,1.6652668170624567,0.0,1.2434265750746745,0.21371068242517402,2.2262690713227604,strict,0.6065309563363169,79,1210
category_model_Other,0.07243126282079923,1.0751189029095445,0.20774518339916423,-0.33474181460323094,0.47960434024482945,0.7155228000443716,1.6154351130694131,0.0,0.34865435451097265,0.7273488161562855,0.45928068858188553,strict,0.6065309563363169,79,1210
category_model_Software & Applications,-0.17225404467973385,0.8417653000069294,0.1890783748320732,-0.5428408496059619,0.19833276024649424,0.5810951015191379,1.2193680835432406,0.0,-0.9110192788187353,0.36228521582483153,1.464802161553773,strict,0.6065309563363169,79,1210
category_model_Telecom & Networks,0.02895307095907131,1.0293762856997548,0.18655379293690794,-0.33668564437661097,0.39459178629475355,0.7141332964388695,1.4837783686112267,0.0,0.15519958347275828,0.8766639766505342,0.18990412806162613,strict,0.6065309563363169,79,1210
category_model_Unknown,-0.25153107952079795,0.777609289510117,0.2550019770267157,-0.751325770479671,0.24826361143807502,0.4717407180580481,1.281797784218455,0.0,-0.9863887427603979,0.32394238705327744,1.6261908413556208,strict,0.6065309563363169,79,1210
