contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:15-187883,SIREN:227200029,Département de la Sarthe,227200029,,SIREN_ENRICHED,Telecom & Networks,2016-04-20,48.0,2020-04-20,0.023021207529177024,0.04048109400027633,Low,duration imputed,False,,1,45.7,LogLogisticAFT
BOAMP:15-189271,SIREN:227200029,Département de la Sarthe,227200029,,SIREN_ENRICHED,IT Services & Consulting,2015-12-18,48.0,2019-12-18,0.028412376088064573,0.04975284279217396,Low,duration imputed,False,72.0,1,47.08,LogLogisticAFT
BOAMP:15-191209,SIREN:218501096,Commune des Herbiers,218501096,,SIREN_ENRICHED,IT Hardware & Equipment,2015-12-24,48.0,2019-12-24,0.024228646156769784,0.04256438874771118,Low,duration imputed,False,32.0,0,126.48,LogLogisticAFT
BOAMP:15-192356,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,IT Services & Consulting,2015-12-24,12.0,2016-12-24,0.04457160354873768,0.07708625856922502,Low,model-estimated recurrence probability,False,72.0,0,126.48,LogLogisticAFT
BOAMP:16-2771,NAME:conseil general vendee,Conseil général de la Vendée,,,NAME,IT Services & Consulting,2016-04-11,48.0,2020-04-11,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,122.9,LogLogisticAFT
BOAMP:16-3447,SIREN:268504453,Centre Hospitalier Loire Vendée Océan,268504453,,SIREN_ENRICHED,Cloud & Infrastructure,2016-01-11,48.0,2020-01-11,0.0242372501535697,0.04257921994145897,Low,duration imputed,False,48.0,0,125.89,LogLogisticAFT
BOAMP:16-4040,NAME:cte communes pays herbiers,Cté de Communes du Pays des Herbiers,,,NAME,IT Services & Consulting,2016-01-12,48.0,2020-01-12,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,125.85,LogLogisticAFT
BOAMP:16-6135,SIREN:287200265,SDIS de la Sarthe,287200265,,SIREN_ENRICHED,Digital Workplace & Collaboration,2016-04-12,48.0,2020-04-12,0.0242372501535697,0.04257921994145897,Low,duration imputed,False,48.0,0,122.86,LogLogisticAFT
BOAMP:16-5206,SIREN:214401846,Commune de Saint-Nazaire,214401846,,SIREN_ENRICHED,Unknown,2016-01-14,28.0,2018-05-14,0.02969189489284596,0.0519420267391576,Low,model-estimated recurrence probability,False,,0,125.79,LogLogisticAFT
BOAMP:16-7712,NAME:cnieg,CNIEG,,,NAME,IT Services & Consulting,2016-05-24,24.0,2018-05-24,0.02789725344420102,0.04887027398926136,Low,model-estimated recurrence probability,False,72.0,0,121.48,LogLogisticAFT
BOAMP:16-1046,NAME:ademe,ADEME,,,NAME,Digital Workplace & Collaboration,2016-01-18,55.0,2020-08-18,0.01685164254255589,0.02977497420331343,Low,model-estimated recurrence probability,False,72.0,0,125.66,LogLogisticAFT
BOAMP:16-7640,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,Software & Applications,2016-01-18,48.0,2020-01-18,0.018305735163964387,0.032307549261624935,Low,duration imputed,False,48.0,0,125.66,LogLogisticAFT
BOAMP:16-7903,SIREN:523699148,Ecole des Mines de Nantes,523699148,,SIREN_ENRICHED,IT Hardware & Equipment,2016-04-05,48.0,2020-04-05,0.0242372501535697,0.04257921994145897,Low,duration imputed,False,32.0,0,123.09,LogLogisticAFT
BOAMP:16-10778,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Maintenance & Support,2016-10-20,24.0,2018-10-20,0.03342474124124861,0.05830406260680088,Low,model-estimated recurrence probability,False,72.0,1,26.71,LogLogisticAFT
BOAMP:16-10414,NAME:conseil general loire atlantique,Conseil général de Loire-Atlantique,,,NAME,IT Services & Consulting,2016-01-22,24.0,2018-01-22,0.02789725344420102,0.04887027398926136,Low,model-estimated recurrence probability,False,72.0,0,125.53,LogLogisticAFT
BOAMP:16-10649,SIREN:284400017,SDIS 44,284400017,,SIREN_ENRICHED,Cybersecurity,2016-01-25,48.0,2020-01-25,0.023426926993440622,0.04118155122754219,Low,duration imputed,False,,0,125.43,LogLogisticAFT
BOAMP:16-12477,NAME:gpm nantes st nazaire,GPM de Nantes - St Nazaire,,,NAME,Telecom & Networks,2016-05-17,48.0,2020-05-17,0.016332907674503128,0.028870109233375518,Low,duration imputed,False,32.0,0,121.71,LogLogisticAFT
BOAMP:16-14558,NAME:inra angers nantes,INRA Angers Nantes,,,NAME,IT Services & Consulting,2016-07-05,36.0,2019-07-05,0.024432358928773712,0.04291548679521673,Low,model-estimated recurrence probability,False,72.0,1,51.51,LogLogisticAFT
BOAMP:16-15282,SIREN:200054302,MONTREVAULT-SUR-ÈVRE,200054302,,SIREN_ENRICHED,Software & Applications,2016-02-02,48.0,2020-02-02,0.018305735163964387,0.032307549261624935,Low,duration imputed,True,48.0,0,125.16,LogLogisticAFT
BOAMP:16-16627,SIREN:247200132,Le Mans Métropole - Communauté Urbaine,247200132,,SIREN_ENRICHED,Digital Workplace & Collaboration,2016-12-07,48.0,2020-12-07,0.0242372501535697,0.04257921994145897,Low,duration imputed,False,72.0,0,115.01,LogLogisticAFT
BOAMP:16-17002,SIREN:214401432,Ville de Rezé,214401432,,SIREN_ENRICHED,Software & Applications,2016-02-04,36.0,2019-02-04,0.022153064130502775,0.03898079854394787,Low,model-estimated recurrence probability,False,48.0,0,125.1,LogLogisticAFT
BOAMP:16-19705,SIREN:242900769,Concarneau Cornouaille Agglomération,242900769,,SIREN_ENRICHED,Software & Applications,2016-06-21,48.0,2020-06-21,0.019387380714712688,0.03418771898157025,Low,model-estimated recurrence probability,False,,0,120.57,LogLogisticAFT
BOAMP:16-21939,SIREN:214401432,Ville de Rezé,214401432,,SIREN_ENRICHED,Software & Applications,2016-02-12,48.0,2020-02-12,0.018305735163964387,0.032307549261624935,Low,duration imputed,False,39.0,0,124.84,LogLogisticAFT
BOAMP:16-23686,NAME:cte cnes coeur estuaire,Cté Cnes Coeur d'Estuaire,,,NAME,IT Services & Consulting,2016-06-17,48.0,2020-06-17,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,120.7,LogLogisticAFT
BOAMP:16-26260,SIREN:214400269,Ville de Carquefou,214400269,,SIREN_ENRICHED,Software & Applications,2016-06-09,12.0,2017-06-09,0.02888782558950531,0.05056681532622809,Low,model-estimated recurrence probability,False,48.0,0,120.96,LogLogisticAFT
BOAMP:16-20531,NAME:dreal pays loire,DREAL Pays de la Loire,,,NAME,IT Services & Consulting,2016-02-23,48.0,2020-02-23,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,124.47,LogLogisticAFT
BOAMP:16-25827,NAME:cg49,CG49,,,NAME,IT Services & Consulting,2016-05-12,48.0,2020-05-12,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,121.88,LogLogisticAFT
BOAMP:16-27767,SIREN:264900390,Centre Hospitalier de Cholet,264900390,,SIREN_ENRICHED,Software & Applications,2016-02-25,48.0,2020-02-25,0.019387380714712688,0.03418771898157025,Low,model-estimated recurrence probability,False,48.0,0,124.41,LogLogisticAFT
BOAMP:16-28465,NAME:syndicat departemental energie,Syndicat Départemental d'Energie,,,NAME,IT Services & Consulting,2016-03-01,48.0,2020-03-01,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,124.24,LogLogisticAFT
BOAMP:16-30120,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Services & Consulting,2016-03-02,48.0,2020-03-02,0.030083522391006645,0.05261121460463736,Low,model-estimated recurrence probability,False,72.0,1,58.18,LogLogisticAFT
BOAMP:16-30715,NAME:cg49,CG49,,,NAME,IT Services & Consulting,2016-05-12,48.0,2020-05-12,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,121.88,LogLogisticAFT
