contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,data_quality_flags,prediction_date
BOAMP:24-64515,NAME:groupement transamo cenovia,GROUPEMENT TRANSAMO - CENOVIA,,,NAME,Data & AI,2024-06-05,6.0,2024-12-05,0.0291040602436419,0.0509368125698611,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:23-130718,SIREN:214401846,COMMUNE DE SAINT NAZAIRE,214401846,,SIREN_ENRICHED,Software & Applications,2023-09-22,12.0,2024-09-22,0.0289593659875341,0.0506892411685482,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:22-162609,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,Software & Applications,2022-12-09,12.0,2023-12-09,0.0289491354168672,0.0506717345998511,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:22-25102,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2022-07-04,12.0,2023-07-04,0.0289491354168672,0.0506717345998511,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:22-29878,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2022-07-11,12.0,2023-07-11,0.0289491354168672,0.0506717345998511,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:22-32770,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2022-03-05,12.0,2023-03-05,0.0289491354168672,0.0506717345998511,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:21-101248,SIREN:214401846,COMMUNE DE SAINT NAZAIRE,214401846,,SIREN_ENRICHED,Software & Applications,2021-11-03,12.0,2022-11-03,0.0289389083526779,0.0506542337547848,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:21-88617,SIREN:200071876,CA SAUMUR VAL DE LOIRE,200071876,,SIREN_ENRICHED,Software & Applications,2021-06-30,12.0,2022-06-30,0.0289389083526779,0.0506542337547848,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:20-54626,SIREN:180043010,Réseau Canopé,180043010,,SIREN_ENRICHED,Software & Applications,2020-04-22,12.0,2021-04-22,0.0289286847938405,0.0506367386317007,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:20-65753,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2020-07-22,12.0,2021-07-22,0.0289286847938405,0.0506367386317007,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:20-96647,SIREN:214401432,COMMUNE DE REZE,214401432,,SIREN_ENRICHED,Software & Applications,2020-11-02,12.0,2021-11-02,0.0289286847938405,0.0506367386317007,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:19-159241,SIREN:130013097,ECOLE NATIONALE SUPERIEURE MARITIME,130013097,,SIREN_ENRICHED,Software & Applications,2019-10-20,12.0,2020-10-20,0.0289184647392296,0.0506192492289505,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:19-8916,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,Software & Applications,2019-01-17,12.0,2020-01-17,0.0289184647392296,0.0506192492289505,Low,model-estimated recurrence probability,False,,2026-07-09
