contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:17-80380,BOAMP,NAME:maine loire habitat office pub habitat,32.0,Telecom & Networks,2017-10-03,48.0,0,86.93,86.93,,,300000.0,OUVERT,SERVICES,False,2021-10-03,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-82963,BOAMP,NAME:ville du mans,32.0,Telecom & Networks,2017-10-09,48.0,1,45.53,,45.53,BOAMP:21-103746,,PROCEDURE_ADAPTE,,True,2021-10-09,attribution_award_date,sentence_transformers,0.6097,0.3711,,False,0.7943,0,0,0,0.6097,0.3618,0.2479,2,False,False
BOAMP:17-85841,BOAMP,SIREN:234400034,48.0,Software & Applications,2017-10-23,12.0,1,11.27,,11.27,BOAMP:18-87166,,PROCEDURE_ADAPTE,SERVICES,False,2018-10-23,attribution_award_date,sentence_transformers,0.5657,0.4447,0.2,True,0.939,0,0,0,0.5657,0.4828,0.0828999999999999,16,False,False
BOAMP:17-85294,BOAMP,SIREN:391722881,48.0,Software & Applications,2017-06-21,12.0,1,9.07,,9.07,BOAMP:18-40176,,OUVERT,SERVICES,False,2018-06-21,publication_date,sentence_transformers,0.5158,0.4116,0.2,True,0.7556,0,0,0,0.5158,0.4195,0.0963,4,False,False
BOAMP:17-88463,BOAMP,NAME:cesame de sainte gemmes sur loire,32.0,Telecom & Networks,2017-06-25,39.0,0,90.21,90.21,,,220000.0,OUVERT,FOURNITURES,False,2020-09-24,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-90424,BOAMP,NAME:regie dept passages d eau de vendee,72.0,IT Services & Consulting,2017-06-27,48.0,1,51.38,,51.38,BOAMP:21-135182,,PROCEDURE_ADAPTE,SERVICES,True,2021-06-27,publication_date,sentence_transformers,0.7853,0.6039,1.0,True,0.7184,0,0,0,0.7853,0.484,0.3013,2,False,True
BOAMP:17-90049,BOAMP,SIREN:391722881,35.0,Cybersecurity,2017-06-28,12.0,1,8.84,,8.84,BOAMP:18-40176,,OUVERT,SERVICES,False,2018-06-28,publication_date,sentence_transformers,0.458,0.4018,0.0,True,0.7364,0,0,0,0.458,0.456,0.002,5,False,False
BOAMP:17-91935,BOAMP,NAME:nantes metropole,32.0,Telecom & Networks,2017-07-01,48.0,1,53.52,,53.52,BOAMP:21-163822,,OUVERT,FOURNITURES,False,2021-07-01,publication_date,sentence_transformers,0.8311,0.8075,1.0,True,0.5404,0,0,0,0.8311,0.6728,0.1583,29,False,True
BOAMP:17-91530,BOAMP,SIREN:225300011,45.0,Unknown,2018-05-29,24.0,1,25.36,,25.36,BOAMP:20-88363,,OUVERT,TRAVAUX,False,2020-05-28,attribution_award_date,sentence_transformers,0.456,0.3218,0.0,True,0.8866,0,0,0,0.456,0.2572,0.1988,2,False,False
BOAMP:17-93042,BOAMP,SIREN:391722881,72.0,IT Services & Consulting,2017-07-02,24.0,1,31.73,,31.73,BOAMP:20-27358,,OUVERT,SERVICES,False,2019-07-02,publication_date,sentence_transformers,0.4294,0.3957,0.2,True,0.3555,0,0,0,0.4294,,,1,True,False
BOAMP:17-93666,BOAMP,SIREN:264400136,72.0,IT Services & Consulting,2017-07-03,48.0,1,49.57,,49.57,BOAMP:21-113953,,PROCEDURE_ADAPTE,SERVICES,True,2021-07-03,publication_date,sentence_transformers,0.7983,0.5613,1.0,True,0.8689,0,0,0,0.7983,0.7917,0.0066,11,False,False
BOAMP:17-93952,BOAMP,SIREN:391722881,72.0,Digital Workplace & Collaboration,2018-05-14,24.0,1,17.97,,17.97,BOAMP:19-169855,,NEGOCIE,SERVICES,False,2020-05-13,attribution_award_date,sentence_transformers,0.5061,0.5166,0.2,True,0.4975,0,0,0,0.5061,0.4916,0.0145,6,False,False
BOAMP:17-97519,BOAMP,SIREN:214402042,72.0,Digital Workplace & Collaboration,2017-07-07,48.0,1,51.81,,51.81,BOAMP:21-146075,,PROCEDURE_ADAPTE,SERVICES,True,2021-07-07,publication_date,sentence_transformers,0.6409,0.6359,0.4,True,0.6828,0,0,0,0.6409,,,1,True,False
BOAMP:17-97609,BOAMP,SIREN:284400017,35.0,Cybersecurity,2017-07-07,48.0,1,44.51,,44.51,BOAMP:21-38984,,PROCEDURE_ADAPTE,,True,2021-07-07,publication_date,sentence_transformers,0.6657,0.6846,0.4,True,0.7095,0,0,0,0.6657,0.3921,0.2735999999999999,5,False,False
BOAMP:17-94724,BOAMP,SIREN:214401846,32.0,Telecom & Networks,2017-10-03,36.0,1,34.0,,34.0,BOAMP:20-98331,,OUVERT,FOURNITURES,False,2020-10-02,attribution_award_date,sentence_transformers,0.5466,0.5749,0.0,True,0.8334,0,0,0,0.5466,0.4413,0.1052999999999999,5,False,False
BOAMP:17-98996,BOAMP,SIREN:214401622,72.0,IT Services & Consulting,2017-07-11,36.0,1,41.2,,41.2,BOAMP:20-118247,,PROCEDURE_ADAPTE,SERVICES,False,2020-07-10,publication_date,sentence_transformers,0.5696,0.6406,0.2,True,0.567,0,0,0,0.5696,,,1,True,False
BOAMP:17-96902,BOAMP,SIREN:214401846,48.0,Software & Applications,2017-07-13,48.0,1,51.71,,51.71,BOAMP:21-101248,,PROCEDURE_ADAPTE,,False,2021-07-13,publication_date,sentence_transformers,0.476,0.3445,0.2,True,0.691,0,0,0,0.476,0.3989,0.0771,6,False,False
BOAMP:17-82154,BOAMP,NAME:nantes metropole,79.0,Unknown,2017-07-13,36.0,1,36.76,,36.76,BOAMP:20-98214,,NEGOCIE,SERVICES,False,2020-07-12,publication_date,sentence_transformers,0.5793,0.605,0.0,True,0.9366,0,0,0,0.5793,0.5793,0.0,22,False,False
BOAMP:17-100085,BOAMP,SIREN:244900015,42.0,Unknown,2017-11-10,24.0,1,24.93,,24.93,BOAMP:19-85688,300000.0,OUVERT,FOURNITURES,False,2019-11-10,attribution_award_date,sentence_transformers,0.4409,0.2662,0.0,True,0.9221,0,0,0,0.4409,0.413,0.0279,7,False,False
BOAMP:17-101340,BOAMP,NAME:crous de rennes,32.0,Telecom & Networks,2017-07-15,48.0,0,89.55,89.55,,,,OUVERT,SERVICES,True,2021-07-15,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-102708,BOAMP,SIREN:234400034,48.0,Software & Applications,2017-07-18,36.0,1,36.14,,36.14,BOAMP:20-65753,,PROCEDURE_ADAPTE,SERVICES,False,2020-07-17,publication_date,sentence_transformers,0.6002,0.5063,0.2,True,0.9886,0,0,0,0.6002,0.5495,0.0506999999999999,20,False,False
BOAMP:17-102482,BOAMP,SIREN:264400136,72.0,IT Services & Consulting,2017-07-18,48.0,1,49.08,,49.08,BOAMP:21-113953,,PROCEDURE_ADAPTE,,True,2021-07-18,publication_date,sentence_transformers,0.8065,0.5613,1.0,True,0.91,0,0,0,0.8065,0.7999,0.0065999999999999,11,False,False
BOAMP:17-102187,BOAMP,SIREN:194909701,32.0,Telecom & Networks,2017-07-19,36.0,1,29.11,,29.11,BOAMP:19-190328,,OUVERT,FOURNITURES,False,2020-07-18,publication_date,sentence_transformers,0.5563,0.5531,0.4,True,0.4255,0,0,0,0.5563,0.553,0.0032999999999999,5,False,False
BOAMP:17-100105,BOAMP,SIREN:214401846,48.0,Software & Applications,2017-07-20,12.0,1,7.98,,7.98,BOAMP:18-36652,400000.0,OUVERT,FOURNITURES,False,2018-07-20,publication_date,sentence_transformers,0.7058,0.4319,1.0,True,0.6652,0,0,0,0.7058,0.7008,0.005,9,False,False
BOAMP:17-103193,BOAMP,SIREN:234400034,48.0,Software & Applications,2018-03-19,48.0,1,50.1,,50.1,BOAMP:22-72517,,NEGOCIE,SERVICES,True,2022-03-19,attribution_award_date,sentence_transformers,0.9358,0.927,1.0,True,0.8251,0,0,0,0.9358,0.7875,0.1483,25,False,True
BOAMP:17-102923,BOAMP,SIREN:234400034,48.0,Software & Applications,2017-07-20,48.0,1,47.21,,47.21,BOAMP:21-86773,,OUVERT,SERVICES,False,2021-07-20,publication_date,sentence_transformers,0.5539,0.5428,0.0,True,0.934,0,0,0,0.5539,0.5411,0.0127999999999999,21,False,False
BOAMP:17-103816,BOAMP,NAME:dirisi,32.0,Telecom & Networks,2017-12-20,66.0,0,84.36,84.36,,,360000.0,OUVERT,FOURNITURES,False,2023-06-21,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-102568,BOAMP,NAME:carene,48.0,Software & Applications,2017-07-21,48.0,0,89.36,89.36,,,,PROCEDURE_ADAPTE,SERVICES,False,2021-07-21,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-104235,BOAMP,SIREN:391722881,48.0,Software & Applications,2017-07-22,36.0,1,31.37,,31.37,BOAMP:19-51224,,OUVERT,FOURNITURES,False,2020-07-21,publication_date,sentence_transformers,0.536,0.5328,0.2,True,0.6144,0,0,0,0.536,0.4655,0.0705,9,False,False
BOAMP:17-104895,BOAMP,SIREN:264900390,35.0,Cybersecurity,2017-10-09,48.0,0,86.73,86.73,,,560000.0,OUVERT,SERVICES,True,2021-10-09,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-104307,BOAMP,SIREN:214401846,39.0,Unknown,2017-11-09,48.0,1,52.79,,52.79,BOAMP:21-169350,100000.0,OUVERT,FOURNITURES,False,2021-11-09,attribution_award_date,sentence_transformers,0.6472,0.6927,0.4,True,0.6006,0,0,0,0.6472,0.3459,0.3013,3,False,False
BOAMP:17-105683,BOAMP,SIREN:247200132,39.0,Software & Applications,2017-12-20,2.0,0,84.36,84.36,,,,OUVERT,FOURNITURES,False,2018-02-18,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
