contract_id,source,buyer_key,cpv_div2,category_id,category_label,start_date,declared_duration_months,event,observed_duration_months,amount_clean,link_method,renewal_contract_id
DECP:218500965000152022001202200,DECP,SIRET:21850096500015,32,CAT04,Telecom & Networks,2022-04-27,90.0,0,32.16,69341.75,none,
DECP:391722881000522022fAcwbF5_7o00,DECP,SIRET:39172288100052,72,CAT02,IT Services & Consulting,2022-04-28,58.0,0,32.13,,none,
DECP:200083392000152022M008L0100,DECP,SIRET:20008339200015,32,CAT04,Telecom & Networks,2022-04-28,12.0,1,17.74,177684.0,decp_jaccard,DECP:200083392000152022M008L0101
DECP:214900151000172022248pg0000000,DECP,SIRET:21490015100017,32,CAT04,Telecom & Networks,2022-04-28,48.0,0,32.13,150000.0,none,
DECP:224400028000112022I172BMS2100,DECP,SIRET:22440002800011,72,CAT02,IT Services & Consulting,2022-04-29,12.0,0,32.1,110000.0,none,
DECP:224400028000112022I172AMS1800,DECP,SIRET:22440002800011,72,CAT02,IT Services & Consulting,2022-04-29,12.0,0,32.1,150000.0,none,
DECP:3852903090045420222022S0739300,DECP,SIRET:38529030900454,72,CAT10,IT Maintenance & Support,2022-04-29,48.0,0,32.1,1682012.0,none,
DECP:20007326000016202207TICCOM0000,DECP,SIRET:20007326000016,72,CAT02,IT Services & Consulting,2022-04-29,48.0,0,32.1,243273.0,none,
DECP:288500010000132022MSP220300,DECP,SIRET:28850001000013,72,CAT02,IT Services & Consulting,2022-04-29,48.0,0,32.1,250000.0,none,
DECP:21850109600018202222VH00800000,DECP,SIRET:21850109600018,72,CAT02,IT Services & Consulting,2022-04-29,44.0,0,32.1,43880.0,none,
DECP:21850109600018202222VH00800100,DECP,SIRET:21850109600018,72,CAT02,IT Services & Consulting,2022-04-29,45.0,0,32.1,43880.0,none,
DECP:200067635001322022014000000000,DECP,SIRET:20006763500132,48,CAT01,Software & Applications,2022-05-01,48.0,0,32.03,32735.0,none,
DECP:200072882000182022EXTINCTEUR00,DECP,SIRET:20007288200018,35,CAT03,Cybersecurity,2022-05-01,36.0,0,32.03,45000.0,none,
DECP:224400028000112022I172AMS1900,DECP,SIRET:22440002800011,72,CAT02,IT Services & Consulting,2022-05-02,12.0,0,32.0,190000.0,none,
DECP:2144013580009520222022FBP07B00,DECP,SIRET:21440135800095,32,CAT04,Telecom & Networks,2022-05-02,48.0,0,32.0,82201.44,none,
DECP:2253000110001520220100,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,60000.0,none,
DECP:2253000110001520220100,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,60000.0,none,
DECP:2253000110001520220100,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,60000.0,none,
DECP:225300011000152022010000,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,60000.0,none,
DECP:225300011000152022010001,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,60000.0,none,
DECP:225300011000152022010001,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,60000.0,none,
DECP:225300011000152022010100,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,41250.0,none,
DECP:2144018460001620220119081901,DECP,SIRET:21440184600016,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,550000.0,none,
DECP:2144018460001620220119081900,DECP,SIRET:21440184600016,72,CAT02,IT Services & Consulting,2022-05-03,48.0,0,31.96,550000.0,none,
DECP:218501914005662022235eo0000000,DECP,SIRET:21850191400566,48,CAT01,Software & Applications,2022-05-03,3.0,0,31.96,46363.0,none,
DECP:288500010000132022MSP220400,DECP,SIRET:28850001000013,48,CAT01,Software & Applications,2022-05-05,48.0,0,31.9,47400.0,none,
DECP:288500010000132022MA220900,DECP,SIRET:28850001000013,32,CAT04,Telecom & Networks,2022-05-09,12.0,0,31.77,20000.0,none,
DECP:2644001360047120222022S0791900,DECP,SIRET:26440013600471,72,CAT02,IT Services & Consulting,2022-05-09,48.0,0,31.77,1550000.0,none,
DECP:224400028000112022I172AMS2000,DECP,SIRET:22440002800011,72,CAT02,IT Services & Consulting,2022-05-12,12.0,0,31.67,40000.0,none,
DECP:2672001600001320222022S0729800,DECP,SIRET:26720016000013,72,CAT02,IT Services & Consulting,2022-05-12,42.0,0,31.67,330000.0,none,
DECP:2000332980001520222022019BIC00,DECP,SIRET:20003329800015,32,CAT04,Telecom & Networks,2022-05-12,2.0,0,31.67,60553.0,none,
DECP:244900015000112022G22044P00,DECP,SIRET:24490001500011,48,CAT01,Software & Applications,2022-05-13,48.0,0,31.64,1600000.0,none,
DECP:244900015000112022G22044P00000,DECP,SIRET:24490001500011,48,CAT01,Software & Applications,2022-05-13,12.0,1,12.88,,decp_jaccard,DECP:244900015000112022G22044P01
DECP:234400034000262022S00041,DECP,SIRET:23440003400026,72,CAT02,IT Services & Consulting,2022-05-13,48.0,0,31.64,,none,
DECP:234400034000262022F00036,DECP,SIRET:23440003400026,48,CAT01,Software & Applications,2022-05-13,6.0,1,1.84,582900.0,decp_jaccard,DECP:234400034000262022F00063
DECP:225300011000152021011402,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-16,24.0,0,31.54,65000.0,none,
DECP:225300011000152021011401,DECP,SIRET:22530001100015,72,CAT02,IT Services & Consulting,2022-05-16,24.0,0,31.54,65000.0,none,
DECP:24440064400013202111091136MV00,DECP,SIRET:24440064400013,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,800000.0,none,
DECP:24440064400013202111091136MV00,DECP,SIRET:24440064400013,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,800000.0,none,
DECP:244400610000552022CAP003700000,DECP,SIRET:24440061000055,32,CAT04,Telecom & Networks,2022-05-16,12.0,0,31.54,213000.0,none,
DECP:21440184600016202111091136MV00,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,2115000.0,none,
DECP:21440184600016202111091136MV01,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,950000.0,none,
DECP:21440184600016202111091136MV01,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,950000.0,none,
DECP:21440184600016202111091136MV01,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,950000.0,none,
DECP:21440184600016202111091136MV00,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,2115000.0,none,
DECP:21440184600016202111091136MV02,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,2115000.0,none,
DECP:21440184600016202111091136MV02,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,2115000.0,none,
DECP:214401846000162023INV0400,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,48.0,0,31.54,333333.34,none,
DECP:214401846000162023INV0400,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,48.0,0,31.54,333333.34,none,
DECP:21440184600016202111091136MV02,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-16,49.0,0,31.54,2115000.0,none,
DECP:244400644000132021110115MVB00,DECP,SIRET:24440064400013,32,CAT04,Telecom & Networks,2022-05-17,48.0,0,31.5,1000000.0,none,
DECP:244400644000132021110115MVB00,DECP,SIRET:24440064400013,32,CAT04,Telecom & Networks,2022-05-17,48.0,0,31.5,1000000.0,none,
DECP:25850022200033202222SV08100,DECP,SIRET:25850022200033,72,CAT02,IT Services & Consulting,2022-05-17,55.0,0,31.5,100000.0,none,
DECP:234400034000262022S00019,DECP,SIRET:23440003400026,72,CAT07,Digital Workplace & Collaboration,2022-05-17,48.0,0,31.5,,none,
DECP:214401846000162021110115MVB00,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-17,48.0,0,31.5,200000.0,none,
DECP:214401846000162021110115MVB00,DECP,SIRET:21440184600016,32,CAT04,Telecom & Networks,2022-05-17,48.0,0,31.5,200000.0,none,
DECP:77571510501032202232jQiBv8pX00,DECP,SIRET:77571510501032,48,CAT01,Software & Applications,2022-05-17,5.0,0,31.5,200000.0,none,
DECP:225300011000152022009900,DECP,SIRET:22530001100015,72,CAT07,Digital Workplace & Collaboration,2022-05-18,36.0,0,31.47,111000.0,none,
DECP:254401094000682020AC200010001,DECP,SIRET:25440109400068,72,CAT02,IT Services & Consulting,2022-05-18,45.0,0,31.47,39400.0,none,
DECP:2644001360047120222022F0788400,DECP,SIRET:26440013600471,48,CAT01,Software & Applications,2022-05-19,42.0,0,31.44,95500.0,none,
DECP:31468496000045202222M9308800,DECP,SIRET:31468496000045,72,CAT07,Digital Workplace & Collaboration,2022-05-20,18.0,0,31.41,29900.0,none,
DECP:244900015000112022G22047P00000,DECP,SIRET:24490001500011,48,CAT01,Software & Applications,2022-05-20,12.0,0,31.41,179211.0,none,
DECP:288500010000132022MA221000,DECP,SIRET:28850001000013,48,CAT01,Software & Applications,2022-05-20,36.0,0,31.41,200000.0,none,
DECP:234400034000262022S00051,DECP,SIRET:23440003400026,72,CAT02,IT Services & Consulting,2022-05-20,24.0,0,31.41,,none,
DECP:2644001360047120222022F0833200,DECP,SIRET:26440013600471,48,CAT01,Software & Applications,2022-05-20,42.0,0,31.41,90000.0,none,
DECP:21720154000010202222023LFL0200,DECP,SIRET:21720154000010,32,CAT04,Telecom & Networks,2022-05-24,18.0,0,31.27,70000.0,none,
DECP:2272000290001420191937104,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-05-24,48.0,0,31.27,195817.55,none,
DECP:1949097010030320222022F0810900,DECP,SIRET:19490970100303,32,CAT04,Telecom & Networks,2022-05-24,120.0,0,31.27,667400.0,none,
DECP:1949097010030320222022F0810800,DECP,SIRET:19490970100303,32,CAT04,Telecom & Networks,2022-05-24,120.0,0,31.27,391668.0,none,
DECP:482414216000442022igzq30000000,DECP,SIRET:48241421600044,72,CAT07,Digital Workplace & Collaboration,2022-05-25,48.0,0,31.24,50000.0,none,
DECP:529260903000162022SOPRAF000301,DECP,SIRET:52926090300016,32,CAT04,Telecom & Networks,2022-05-25,4.0,0,31.24,292088.18,none,
DECP:200057438000182022INFO00000001,DECP,SIRET:20005743800018,72,CAT02,IT Services & Consulting,2022-05-30,3.0,0,31.08,18666.67,none,
DECP:214900078000122022G18063Pd0000,DECP,SIRET:21490007800012,32,CAT04,Telecom & Networks,2022-05-30,4.0,0,31.08,53249.0,none,
DECP:247200629002172022ACSF0300,DECP,SIRET:24720062900217,32,CAT04,Telecom & Networks,2022-05-30,1.0,0,31.08,104296.64,none,
DECP:244400404001292022F00012,DECP,SIRET:24440040400129,48,CAT01,Software & Applications,2022-06-03,48.0,0,30.95,,none,
DECP:535104756000152022Dg5Ct9uC9D00,DECP,SIRET:53510475600015,72,CAT02,IT Services & Consulting,2022-06-06,48.0,0,30.85,203081.0,none,
DECP:2672001600001320222022F0897600,DECP,SIRET:26720016000013,72,CAT07,Digital Workplace & Collaboration,2022-06-07,48.0,0,30.81,431400.0,none,
DECP:2172013260001420221200,DECP,SIRET:21720132600014,72,CAT02,IT Services & Consulting,2022-06-07,60.0,0,30.81,250000.0,none,
DECP:284400017000182022pNAYwLE_j600,DECP,SIRET:28440001700018,72,CAT02,IT Services & Consulting,2022-06-07,48.0,0,30.81,80000.0,none,
DECP:2844000170001820227vfgp3xuiV00,DECP,SIRET:28440001700018,72,CAT02,IT Services & Consulting,2022-06-07,48.0,0,30.81,40000.0,none,
DECP:2644001360047120222022S0942700,DECP,SIRET:26440013600471,72,CAT02,IT Services & Consulting,2022-06-08,48.0,0,30.78,650000.0,none,
DECP:21850109600018202222VH01300000,DECP,SIRET:21850109600018,32,CAT04,Telecom & Networks,2022-06-09,18.0,1,17.15,95376.65,decp_jaccard,DECP:21850109600018202222VH01300103
DECP:21850109600018202222VH01300100,DECP,SIRET:21850109600018,32,CAT04,Telecom & Networks,2022-06-09,18.0,1,17.15,95376.65,decp_jaccard,DECP:21850109600018202222VH01300103
DECP:20008247700015202222SER0200,DECP,SIRET:20008247700015,48,CAT01,Software & Applications,2022-06-13,58.0,0,30.62,164195.0,none,
DECP:20008247700015202222SER0200000,DECP,SIRET:20008247700015,48,CAT01,Software & Applications,2022-06-13,58.0,0,30.62,164195.0,none,
DECP:2272000290001420222201904,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-06-14,48.0,0,30.58,840000.0,none,
DECP:2272000290001420222201903,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-06-14,48.0,0,30.58,840000.0,none,
DECP:2272000290001420222201903,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-06-14,48.0,0,30.58,840000.0,none,
DECP:2272000290001420222201901,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-06-14,48.0,0,30.58,840000.0,none,
DECP:2272000290001420222201901,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-06-14,48.0,0,30.58,840000.0,none,
DECP:2272000290001420222201904,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-06-14,48.0,0,30.58,840000.0,none,
DECP:288500010000132022MA221101,DECP,SIRET:28850001000013,35,CAT03,Cybersecurity,2022-06-14,12.0,0,30.58,60000.0,none,
DECP:288500010000132022MA221102,DECP,SIRET:28850001000013,35,CAT03,Cybersecurity,2022-06-14,12.0,0,30.58,80000.0,none,
DECP:234400034000262022F00046,DECP,SIRET:23440003400026,48,CAT01,Software & Applications,2022-06-14,6.0,0,30.58,774130.96,none,
DECP:284400017000182022rcAtdVe-xs00,DECP,SIRET:28440001700018,48,CAT01,Software & Applications,2022-06-14,48.0,0,30.58,1600000.0,none,
DECP:284400017000182022u4m0-53xVn00,DECP,SIRET:28440001700018,35,CAT03,Cybersecurity,2022-06-14,12.0,0,30.58,25000.0,none,
DECP:2672001600001320222022S0958800,DECP,SIRET:26720016000013,72,CAT02,IT Services & Consulting,2022-06-15,12.0,0,30.55,69071.0,none,
DECP:21440015200051202391710800,DECP,SIRET:21440015200051,72,CAT02,IT Services & Consulting,2022-06-15,6.0,0,30.55,27075.0,none,
DECP:2649000360001520222022S1040300,DECP,SIRET:26490003600015,72,CAT07,Digital Workplace & Collaboration,2022-06-16,12.0,0,30.52,12866.0,none,
DECP:2644001360047120222022S0982000,DECP,SIRET:26440013600471,72,CAT02,IT Services & Consulting,2022-06-16,48.0,0,30.52,85000.0,none,
DECP:2644001360047120222022S0981000,DECP,SIRET:26440013600471,72,CAT02,IT Services & Consulting,2022-06-16,48.0,0,30.52,264000.0,none,
DECP:214400475000152022kC2ApVaZGm00,DECP,SIRET:21440047500015,48,CAT01,Software & Applications,2022-06-16,48.0,0,30.52,214900.0,none,
DECP:24850062100011202222CC00500100,DECP,SIRET:24850062100011,32,CAT04,Telecom & Networks,2022-06-16,24.0,0,30.52,140000.0,none,
DECP:24440055200026202287528100,DECP,SIRET:24440055200026,48,CAT01,Software & Applications,2022-06-17,96.0,0,30.49,157486.0,none,
DECP:214900078000122022220340200000,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-06-17,48.0,0,30.49,57810.0,none,
DECP:214900078000122022220340101,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-06-17,48.0,0,30.49,240000.0,none,
DECP:214900078000122022220340100000,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-06-17,48.0,0,30.49,169300.0,none,
DECP:214900078000122022220340100,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-06-17,48.0,0,30.49,240000.0,none,
DECP:214900078000122022220340200,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-06-17,48.0,0,30.49,60000.0,none,
DECP:214902231001482022FR111SI00700,DECP,SIRET:21490223100148,48,CAT01,Software & Applications,2022-06-17,96.0,0,30.49,5870.0,none,
DECP:244400404001292022S00017,DECP,SIRET:24440040400129,72,CAT03,Cybersecurity,2022-06-21,48.0,0,30.35,,none,
DECP:234400034000262022S00057,DECP,SIRET:23440003400026,72,CAT07,Digital Workplace & Collaboration,2022-06-21,48.0,0,30.35,,none,
DECP:2672001600001320222022S1002100,DECP,SIRET:26720016000013,72,CAT03,Cybersecurity,2022-06-22,55.0,0,30.32,15643.3,none,
DECP:2672001600001320222022S1001800,DECP,SIRET:26720016000013,72,CAT03,Cybersecurity,2022-06-22,55.0,0,30.32,74188.6,none,
DECP:2672001600001320222022S1001700,DECP,SIRET:26720016000013,72,CAT03,Cybersecurity,2022-06-22,55.0,0,30.32,15643.3,none,
DECP:2672001600001320222022S1001600,DECP,SIRET:26720016000013,72,CAT03,Cybersecurity,2022-06-22,55.0,0,30.32,39625.45,none,
DECP:2672001600001320222022S1001500,DECP,SIRET:26720016000013,72,CAT03,Cybersecurity,2022-06-22,55.0,0,30.32,15901.25,none,
DECP:2672001600001320222022S1001300,DECP,SIRET:26720016000013,72,CAT03,Cybersecurity,2022-06-22,55.0,0,30.32,136296.85,none,
DECP:2172024560001820220101,DECP,SIRET:21720245600018,32,CAT04,Telecom & Networks,2022-06-22,3.0,0,30.32,75980.0,none,
DECP:2672001600001320222022S1001400,DECP,SIRET:26720016000013,48,CAT01,Software & Applications,2022-06-22,55.0,0,30.32,7821.65,none,
DECP:38105376800028202290442800,DECP,SIRET:38105376800028,32,CAT04,Telecom & Networks,2022-06-23,12.0,0,30.29,608000.0,none,
DECP:38105376800028202290442800,DECP,SIRET:38105376800028,32,CAT04,Telecom & Networks,2022-06-23,12.0,0,30.29,608000.0,none,
DECP:38105376800028202290442900,DECP,SIRET:38105376800028,32,CAT04,Telecom & Networks,2022-06-23,12.0,0,30.29,454000.0,none,
DECP:38105376800028202290442900,DECP,SIRET:38105376800028,32,CAT04,Telecom & Networks,2022-06-23,12.0,0,30.29,454000.0,none,
DECP:38105376800028202290442900,DECP,SIRET:38105376800028,32,CAT04,Telecom & Networks,2022-06-23,12.0,0,30.29,454000.0,none,
DECP:2685024240001620222022S1167000,DECP,SIRET:26850242400016,72,CAT07,Digital Workplace & Collaboration,2022-06-25,4.0,0,30.22,67115.58,none,
DECP:4504521150003020226gf4o0000000,DECP,SIRET:45045211500030,32,CAT04,Telecom & Networks,2022-06-27,12.0,0,30.16,190000.0,none,
DECP:2444006440001320210819115100,DECP,SIRET:24440064400013,72,CAT02,IT Services & Consulting,2022-06-28,43.0,0,30.12,240000.0,none,
DECP:2172024560001820220201,DECP,SIRET:21720245600018,32,CAT04,Telecom & Networks,2022-06-28,3.0,0,30.12,200104.19,none,
