contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,rule_name,event_definition,is_censored
BOAMP:16-55219,BOAMP,SIREN:225300011,32.0,Telecom & Networks,2016-04-18,48.0,0,104.43,104.43,,,750000.0,OUVERT,SERVICES,False,2020-04-18,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-34964,BOAMP,SIREN:173501115,35.0,Cybersecurity,2016-04-19,48.0,0,104.4,104.4,,,,OUVERT,SERVICES,True,2020-04-19,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-55493,BOAMP,NAME:ccas d angers,48.0,Software & Applications,2016-04-19,14.0,0,104.4,104.4,,,,PROCEDURE_ADAPTE,SERVICES,False,2017-06-19,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-56502,BOAMP,NAME:caf de la somme,72.0,Digital Workplace & Collaboration,2016-04-22,60.0,0,104.3,104.3,,,875000.0,OUVERT,FOURNITURES,False,2021-04-22,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-57562,BOAMP,SIREN:244900015,72.0,IT Services & Consulting,2016-04-25,48.0,0,104.2,104.2,,,,PROCEDURE_ADAPTE,SERVICES,True,2020-04-25,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-61061,BOAMP,SIREN:227200029,72.0,IT Services & Consulting,2016-04-29,48.0,0,104.07,104.07,,,,PROCEDURE_ADAPTE,SERVICES,True,2020-04-29,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-61484,BOAMP,SIREN:234400034,72.0,IT Services & Consulting,2016-07-28,48.0,0,101.12,101.12,,,600000.0,OUVERT,SERVICES,False,2020-07-28,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-62960,BOAMP,SIREN:130029747,48.0,Software & Applications,2016-07-07,48.0,0,101.81,101.81,,,130000.0,OUVERT,SERVICES,False,2020-07-07,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-63210,BOAMP,SIREN:265300236,32.0,Telecom & Networks,2016-05-03,48.0,0,103.94,103.94,,,,PROCEDURE_ADAPTE,,True,2020-05-03,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-63741,BOAMP,NAME:conseil general de loire atlantique,64.0,Telecom & Networks,2016-08-03,12.0,0,100.92,100.92,,,1000000.0,OUVERT,SERVICES,False,2017-08-03,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-65569,BOAMP,SIREN:214400558,45.0,Unknown,2016-05-06,48.0,0,103.84,103.84,,,,PROCEDURE_ADAPTE,,True,2020-05-06,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-64280,BOAMP,SIREN:445400104,72.0,IT Services & Consulting,2016-09-12,60.0,0,99.61,99.61,,,250000.0,OUVERT,SERVICES,False,2021-09-12,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-63342,BOAMP,NAME:nantes metropole,45.0,Unknown,2016-10-13,48.0,0,98.59,98.59,,,700000.0,OUVERT,FOURNITURES,False,2020-10-13,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
