buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
NAME:vendee,,VENDEE,BOAMP,,,
NAME:vendee eau,,Vendée Eau,BOAMP,,,
NAME:vendee expansion,,Vendée Expansion,BOAMP,,,
NAME:vendee habitat oph de vendee,,Vendée Habitat - OPH de Vendée,BOAMP,,,
NAME:ville d alencon,,Ville d'Alençon,BOAMP,,,
NAME:ville d angers,,Ville d'Angers,BOAMP,,,
NAME:ville d orvault,,Ville d'Orvault,BOAMP,,,
NAME:ville du croisic,,Ville du Croisic,BOAMP,,,
NAME:ville du mans,,Ville du Mans,BOAMP,,,
NAME:villemomble,,Ville de Villemomble,BOAMP,,,
SIRET:05720113900029,,,,05720113900029,PODELIHA - ENTREPRISE SOCIALE POUR L'HABITAT - SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,DECP
SIRET:05720113900045,,,,05720113900045,PODELIHA - ENTREPRISE SOCIALE POUR L'HABITAT - SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,DECP
SIRET:05820153400078,,,,05820153400078,LOGEMENT ET GESTION IMMOBILIERE POUR LA REGION DE L OUEST,DECP
SIRET:13000548113153,,,,13000548113153,FRANCE TRAVAIL (DR PAYS DE LOIRE),DECP
SIRET:13000610900057,,,,13000610900057,DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT PAYS DE LA LOIRE,DECP
SIRET:13000800600061,,,,13000800600061,AGENCE REGIONALE DE SANTE PAYS DE LOIRE,DECP
SIRET:13000810500012,,,,13000810500012,CHAMBRE COMMERCE INDUSTRIE NANTES - SAINT-NAZAIRE,DECP
SIRET:13000853500010,,,,13000853500010,ECOLE NATIONALE VETERINAIRE AGROALIMENTAIRE ET DE L'ALIMENTATION NANTES ATLANTIQUE,DECP
SIRET:13001232100050,,,,13001232100050,AUTORITE DE REGULATION DES TRANSPORTS,DECP
SIRET:13002928300012,13002928300012,Nantes Université,BOAMP,,,
SIRET:13002974700016,,,,13002974700016,NANTES UNIVERSITE,DECP
SIRET:13003148700015,,,,13003148700015,CHAMBRE D'AGRICULTURE DE REGION PAYS DE LA LOIRE,DECP
SIRET:17350111500013,17350111500013,Société d'aménagement de la Métropole Ouest Atlantique,BOAMP,,,
SIRET:17440000200054,,,,17440000200054,PREFECTURE DE REGION PAYS DE LA LOIRE (SECRETARIAT GEN POUR AFFAIRES REGIONALES),DECP
SIRET:17440005100010,17440005100010,Tribunal administratif de Nantes,BOAMP,,,
SIRET:17440430100015,,,,17440430100015,RECTORAT DE L'ACADEMIE DE NANTES,DECP
SIRET:18003604802284,,,,18003604802284,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (DELEGATION REGIONALE GRAND OUEST),DECP
