idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
18-82,2018-01-04,2018-02-01,,e-Collectivités Vendée,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (matériel)|Informatique (prestations de services),Attribution du marché,ACT SERVICE,17-120545,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-82,legacy,72100000,72100000,,85006,La Roche sur Yon Cedex,500000.0,,,2017-11-06,
18-5827,2018-01-17,2018-01-31,,Nantes Métropole,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Prestations de services,tierce maintenance applicative du système d'information ressources (s.i.r.h.) pour le compte de nantes métropole (rectificatif),,17-129614,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-5827,legacy,72250000,72250000,,44923,Nantes cedex 9,,,,,
18-546,2018-01-05,2018-02-05,,Angers Loire Métropole,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Logiciel,"FOURNITURE DE LICENCES DE PRODUITS AUTODESK, SUPPORT TECHNIQUE ET PRESTATIONS D'ACCOMPAGNEMENT ET DE FORMATION ASSOCIEES",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-546,legacy,48321000,48321000,,49020,ANGERS,500000.0,24.0,DUREE_MOIS,,
18-693,2018-01-05,2018-01-13,,Le Mans Métropole - Communauté Urbaine,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (matériel)|Outillage,"Equipement en matériels informatique, technique et logiciels pour la Setram",Garage Cretot|Voith Turbo|Maha France|Freinage Poids Lourds Services|Knorr-Bremse Systèmes Ferroviaires France S.A|Sarl Montanier|Sas Beauplet Languille|Adartec 4i|Sirev|Hlc Indus|Maine Radiocom|Solstis|Raoul Dreux Sellerie,17-105683,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-693,legacy,39300000,39300000|34311000|34224200|43800000|35125300|30236000|32236000|30200000|50113000,,72039,Le Mans,500000.0,,,2017-12-20,
18-6970,2018-01-18,2018-01-29,,Conseil régional des Pays de la Loire,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Logiciel,"FOURNITURE LOGICIELLE, HÉBERGEMENT, EXPLOITATION ET MAINTENANCE APPLICATIVE DE L'ESPACE NUMÉRIQUE DE TRAVAIL (ENT) E-LYCO ET PRESTATIONS ASSOCIÉES",,17-173975,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-6970,legacy,48000000,48000000,,44966,Nantes cedex 9,,,,,
18-2518,2018-01-09,2018-02-02,2018-02-02T11:00:00+00:00,CHU de Nantes,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),Prestation numérisation intelligente de factures - LAD/RAD,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-2518,legacy,72311100,72311100,,44093,Nantes cedex,,12.0,DUREE_MOIS,,
18-1558,2018-01-05,2018-02-19,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,NEGOCIE,,|10|6,Informatique (prestations de services),Maintenance et évolution du progiciel AS-TECH WEB OFFICE - Année 2018 renouvelable en 2019 - 2020 et 2021,SBCG Informatique,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-1558,legacy,72267100,72267100,,72039,Le Mans,,,,2017-12-21,
18-8867,2018-01-21,2018-01-30,,Sdis de la Mayenne,53,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Matériel de secours et d'incendie,Equipements pour Camions Citerne Grande Capacité et pour Camions Citerne Incendie pour le Service Départemental d'Incendie et de Secours de la Mayenne.,,17-176560,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-8867,legacy,35111200,35111200,,53005,Laval cedex,,,,,
18-4239,2018-01-14,2018-02-19,,CA PORNIC AGGLO PAYS DE RETZ,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Panneaux,Fourniture et pose de signalétique pour les zones d'activités de Pornic Agglo Pays de Retz,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-4239,legacy,35261000,35261000,,,Pornic cedex,,12.0,DUREE_MOIS,,
18-965,2018-01-06,2018-02-04,,Ecole Centrale de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Logiciel,"fournitures, déploiement et maintenance d'un système d'information pédagogique pour l'ecole centrale de nantes",AURIGA,17-110921,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-965,legacy,48900000,48900000,,44321,Nantes,285745.0,,,2017-12-18,2017-08-04
