idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
20-865,2020-01-06,2020-03-06,,Communauté de Communes de Grand Lieu,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,TRAVAUX,|10|6,Surveillance,"Fourniture, mise en oeuvre et maintenance d'un système de vidéo protection sur les zones et parcs d'activités ainsi que sur certains bâtiments de la Communauté de Communes de Grand Lieu (44)",I3S mandataire groupement I3S / Eiffage Energie Systèmes Loire Océan,19-130305,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-865,legacy,35120000,35120000,,44118,La chevroliere,331783.53,,,2019-12-20,
20-8494,2020-01-22,2020-02-14,,Conseil départemental Loire-Atlantique,44,JOUE,PRE-INFORMATION,Avis informatif,,SERVICES,5||3,Espaces verts|Etude,SOURCING - Marché pour la modélisation numérique et la simulation numérique de l'évolution d'un paysage de haies bocagères en fonction de leur mode d'entretien,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-8494,legacy,72242000,72242000,,,Nantes,,,,,
20-4011,2020-01-12,2020-02-13,,CNIEG,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),PRESTATIONS D'ASSISTANCE AU PILOTAGE DANS LA MISE EN PLACE DE PROJETS DE LA COG 2020-2024,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-4011,legacy,72224000,72224000,,44200,NANTES,1200000.0,24.0,DUREE_MOIS,,
20-654,2020-01-08,2020-03-06,,Angers Loire Métropole,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maintenance,EVOLUTIONS ET MAINTENANCE CORRECTIVE DU SYSTEME ATOUT (CARTE DE VIE QUOTIDIENNE - REFERENTIEL PARTAGE- SERVICES EN LIGNE),GFI INFORMATIQUE,19-85688,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-654,legacy,72267000,72267000,,49020,ANGERS,138375.0,,,2019-12-09,2019-06-06
20-12576,2020-01-29,2020-02-27,,CHD VENDEE,85,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Télésurveillance,"Fourniture, installation, et mise en service d'un système de sûreté ; vidéoprotection et contrôle d'accès",,20-10180,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-12576,legacy,32323500,32323500,,85925,La roche sur yon cedex 9,,,,,
20-4259,2020-01-12,2020-04-01,,SYDELA,44|49|53,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Logiciel,Mise à disposition d'un système d'information de management de l'énergie (SIME),,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-4259,legacy,48000000,48000000,,44701,Orvault cedex 1,,72.0,DUREE_MOIS,,
20-1217,2020-01-08,2020-04-04,,DEPARTEMENT DE LA MAYENNE,53,JOUE,ATTRIBUTION,Résultat de marché,RESTREINT,SERVICES,|10|6,Logiciel,"Logiciel Marcoweb : maintenance, formation et prestations associées",Agysoft,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-1217,legacy,72267100,72267100,,53014,Laval,140000.0,,,2020-01-01,
20-14868,2020-02-01,2020-02-27,,CHD VENDEE,85,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Télésurveillance,"Fourniture, installation, et mise en service d'un système de sûreté ; vidéoprotection et contrôle d'accès",,20-10180|20-12576,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-14868,legacy,32323500,32323500,,85925,La roche sur yon cedex 9,,,,,
20-6019,2020-01-14,2020-04-06,2020-02-21T14:00:00+00:00,Cté de Communes de la Région de Blain,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Logiciel,FOURNITURE D'UN LOGICIEL DE GESTION DES MARCHES PUBLICS ET PRESTATIONS ASSOCIEES POUR LA COMMUNAUTE DE COMMUNES DE LA REGION DE BLAIN,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-6019,legacy,48000000,48000000,,44130,Blain,,24.0,DUREE_MOIS,,
20-4175,2020-01-12,2020-02-10,,ETABLISSEMENT PUBLIC DU MARAIS POITEVI,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),Exploitation et maintenance du système d'information sur l'eau du marais Poitevin,,19-155590,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-4175,legacy,72212900,72212900|71313000,,85400,Luçon,295797.58,,,2019-12-20,
20-29713,2020-02-28,2020-04-15,,Ville de Bouguenais,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Informatique (maintenance serveurs et réseaux),Fourniture et mise en oeuvre d'infrastructures Lan et Wifi pour la ville de Bouguenais,,20-27109,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-29713,legacy,32400000,32400000,,44341,BOUGUENAIS CEDEX,,,,,
20-5957,2020-01-16,2020-02-14,,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),"CREATION D'UNE PLATEFORME NUMERIQUE D'OFFRES DE STAGES ET DE CONTRATS D'ALTERNANCE : Mise en ligne, apport d'offres et maintenance",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-5957,legacy,72000000,72000000,,44966,Nantes cedex 9,,12.0,DUREE_MOIS,,
20-8658,2020-01-22,2020-03-20,,CHD VENDEE,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Télésurveillance,"Fourniture, installation, et mise en service d'un système de sûreté ; vidéoprotection et contrôle d'accès",,19-152453|19-155267|19-167905,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-8658,legacy,32323500,32323500|None|45233292,,85925,La roche sur yon cedex 9,,,,,2019-10-11
20-39867,2020-03-18,2020-03-27,,Réseau Canopé,86|44|75|33,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (prestations de services),20-009 Prestations de conception et développement numériques,,20-23104,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-39867,legacy,72000000,72000000,,86961,Futuroscope cedex,,,,,
20-6008,2020-01-16,2020-03-20,,CTRE HOSP UNIVERSITAIRE ANGERS,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Matériel de secours et d'incendie,"PRESTATIONS DE MAINTENANCE PREVENTIVE, CORRECTIVE ET FOURNITURE DE PIECES DETACHEES POUR LES EXTINCTEURS, ARI, RIA, COLONNES SECHES ET POTEAUX INCENDIE DES ETABLISSEMENTS DU GHT 49",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-6008,legacy,50413200,50413200|35110000,,49933,Angers cédex 9,,12.0,DUREE_MOIS,,
20-9575,2020-01-23,2020-03-20,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maintenance,MAINTENANCE ET EVOLUTIONS DES RESEAUX LAN ET WIFI,L'ETE - AXIANS,19-147943,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-9575,legacy,72700000,72700000,,44966,Nantes cedex 9,700000.0,,,2019-12-27,2019-09-25
20-39421,2020-03-18,2020-04-06,,Nantes Métropole,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (prestations de services)|Site internet,"conseil en stratégie de contenus web, l'animation et la conception de contenus digitaux pour le site nantes entreprise dans ma poche (rectificatif)",,20-26328,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-39421,legacy,72130000,72130000,,44923,Nantes cedex 9,,,,,
20-6485,2020-01-19,2020-02-20,,CNIEG,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Maintenance,Confier une partie des activités informatiques de la CNIEG à un tiers sous la forme d'un marché d'infogérance.,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-6485,legacy,72250000,72250000,,44200,NANTES,2000000.0,24.0,DUREE_MOIS,,
20-9582,2020-01-23,2020-03-08,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Prestations de services,Accompagnement à la mise en oeuvre de la transformation numérique,,19-17058,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-9582,legacy,72220000,72220000,,44966,Nantes cedex 9,1000000.0,,,2019-05-24,2019-09-25
20-40291,2020-03-19,2020-04-06,,Nantes Métropole,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Prestations de services,hébergement du data center de nantes métropole et prestations associées pour les besoins de nantes métropole (rectificatif),,20-26585,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-40291,legacy,72250000,72250000,,,Nantes cedex 9,,,,,
20-8882,2020-01-20,2020-02-20,2020-02-20T13:00:00+00:00,Ville d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Chaussures ou articles chaussants|Habillement|Matériel de sécurité,acquisition des tenues et équipements pour la sécurité et la prévention,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-8882,legacy,None,None|35321100,,49020,Angers,,12.0,DUREE_MOIS,,
20-10004,2020-01-24,2020-02-22,,Mairie de Coueron,44|49|85|35,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,FOURNITURES,|10|6,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),Refonte de l'infrastructure du système d'information de la ville de Couëron,AVITI|QUADRIA SAS,19-101998,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-10004,legacy,30200000,30200000|72000000,,44220,Couëron,432209.0,,,2020-01-08,2019-07-05
20-40785,2020-03-19,2020-04-06,,COMMUNE DE NANTES,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Armement,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (nantes) et la police métropolitaine des transports en commun (NM)(rectificatif)",,20-29244,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-40785,legacy,35300000,35300000,,44094,Nantes,,,,,
20-9474,2020-01-21,2020-02-11,2020-02-11T11:00:00+00:00,Conseil départemental Loire-Atlantique,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Signalétique,Signalétique événementielle,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-9474,legacy,35261000,35261000,,44041,NANTES,200000.0,36.0,DUREE_MOIS,,
20-10745,2020-01-25,2020-03-23,,COMMUNE DE MAUGES SUR LOIRE,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,"Cloison, faux plafond|Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux)",Renouvellement du système informatique et du système de collaboration en ligne,UNYC|SCIT|SCIT,19-160506,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-10745,legacy,72500000,72500000|35710000,,49620,Mauges sur Loire,373259.0,,,2020-01-09,2019-10-25
20-40731,2020-03-19,2020-04-06,,Ville de Nantes,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Chaussures ou articles chaussants|Habillement|Matériel de sécurité,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie (rectificatif)",,20-29934,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-40731,legacy,35811200,35811200,,44094,Nantes Cedex 1,,,,,
20-8874,2020-01-22,2020-03-24,,Ministère des Affaires étrangères,75|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),Fourniture et exploitation d'accès internet haut-débit pour le Ministère de l'Europe et des affaires étrangères,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-8874,legacy,72411000,72411000|72400000,,75700,Paris 07 Sp,1000000.0,12.0,DUREE_MOIS,,
20-10834,2020-01-25,2020-02-24,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Impression,"impression numérique de supports graphiques évènementiels grand format pour nantes métropole, la ville de nantes, le ccas et l'ebansn",Agelia,19-156899,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-10834,legacy,35261000,35261000,,,Nantes cedex 9,578.0,,,2020-01-22,2019-10-18
20-42931,2020-03-21,2020-06-18,,GIE SESAM Vitale,72,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Numérisation,Numérisation des photos pour la personnalisation des cartes Vitale,,20-27358,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-42931,legacy,72314000,72314000,,72019,Le mans cedex 2,,,,,
20-8819,2020-01-22,2020-03-02,,COMMUNE DE REZE,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Chaussures ou articles chaussants|Textile,"Fourniture de vêtements de travail, d'articles chaussants et d'équipements de protection individuelle (Epi) 2020-2024",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-8819,legacy,18100000,18100000|18830000|35811200|18412000|18143000,,44403,Rezé,160000.0,12.0,DUREE_MOIS,,
20-14658,2020-01-31,2020-04-28,,DEPARTEMENT DE LA MAYENNE,53,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Logiciel,Prestations de maintenance et d'assistance pour le logiciel Astre-Gf,Gfi Progiciels,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-14658,legacy,72267100,72267100,,53014,Laval,340000.0,,,2020-01-24,
20-42663,2020-03-21,2020-04-28,,Conseil régional des Pays de la Loire,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (prestations de services),Conception et mise en oeuvre d'agents conversationnels (chatbot),,20-32737,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-42663,legacy,72212221,72212221,,44966,Nantes cedex 9,,,,,
20-10119,2020-01-24,2020-02-28,,Conseil général de la Vendée,85,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,SERVICES,5|1|,Informatique (prestations de services)|Site internet,"Acquisition d'une plateforme technique collaborative de recherche, d'enrichissement et de diffusion de ressources documentaires pour les archives départementales de la Vendée",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-10119,legacy,72400000,72400000|None,,85923,La Roche sur Yon,,48.0,DUREE_MOIS,,
20-15670,2020-02-02,2020-04-10,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Habillement|Matériel de sécurité,Conception et acquisition de gilets haute visibilité normalisés à destination des élèves empruntant le transport scolaire dans la Région des Pays de la Loire,GEDIVEPRO,19-32405,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-15670,legacy,35113440,35113440|35113430,,44966,Nantes cedex 9,2240000.0,,,2019-06-27,2019-03-04
20-42725,2020-03-21,2020-05-12,,SGAMI OUEST,35|45|76|44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Matériel de sécurité,"Fourniture, Installation et mise en service de systèmes de sûreté 2020",,20-28158,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-42725,legacy,35113000,35113000,,35207,Rennes cedex 2,,,,,
20-10180,2020-01-24,2020-02-25,,CHD VENDEE,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Télésurveillance,"Fourniture, installation, et mise en service d'un système de sûreté ; vidéoprotection et contrôle d'accès",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-10180,legacy,32323500,32323500|None|45233292,,85925,La roche sur yon cedex 9,,64.0,DUREE_MOIS,,
20-17752,2020-02-06,2020-04-06,,CHD VENDEE,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maîtrise d'oeuvre,Prestations informatiques de maitrise d'oeuvre pour les besoins des établissements membres du GHT Vendée,CONSORT France,19-150176,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-17752,legacy,72000000,72000000|72245000,,85925,La roche sur yon cedex 9,1200000.0,,,2019-12-27,2019-10-08
20-43218,2020-03-22,2020-04-24,,COMMUNE DE NANTES,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Logiciel,acquisition et installation d'un logiciel de gestion de l'accompagnement social (rectificatif),,20-38676,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-43218,legacy,48000000,48000000,,44923,Nantes cedex 9,,,,,
20-11000,2020-01-25,2020-02-25,,Nantes Métropole,44,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,FOURNITURES,5|1|,Logiciel,"acquisition, mise en oeuvre et maintenance d'une solution logicielle de gestion du centre de réception des appels institutionnels et d'organisation de la logistique (craiol)",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-11000,legacy,48000000,48000000,,44923,Nantes Cedex 9,,60.0,DUREE_MOIS,,
20-19101,2020-02-08,2020-04-05,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),"MAINTENANCE CORRECTIVE, ADAPTATIVE, REGLEMENTAIRE ET EVOLUTIVE DE LA SUITE LOGICIELLE IWS ET DE TOUS LES MODULES SOUS LICENCE ASSOCIES",ISILOG SA,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-19101,legacy,72267000,72267000,,44093,Nantes cedex,220000.0,,,2020-01-02,
20-44293,2020-03-26,2020-05-04,,Ville de Nantes,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Chaussures ou articles chaussants|Habillement|Matériel de sécurité,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie (rectificatif)",,20-29934|20-40731,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:20-44293,legacy,35811200,35811200,,44094,Nantes Cedex 1,,,,,
20-12202,2020-01-26,2020-03-05,,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Livres|Logiciel,Mise en place d'un centre de service de développement pour la Région des Pays de la Loire,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-12202,legacy,72000000,72000000,,44966,Nantes cedex 9,,12.0,DUREE_MOIS,,
20-19755,2020-02-09,2020-04-06,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),MAINTENANCE DES SOLUTIONS DE GESTION DES DOSSIERS DE SPECIALITES RECHERCHE,IDBC,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-19755,legacy,72267000,72267000,,44093,Nantes cedex,505800.0,,,2019-11-25,
21-3091,2021-01-08,2021-03-05,2021-03-05T13:00:00+00:00,Ville d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,TRAVAUX,5|1|,"Ascenseur|Bardage|Bâtiment|Charpente|Chauffage (travaux)|Climatisation|Cloison, faux plafond|Electricité (travaux)|Equipement sportif|Espaces verts|Etanchéité|Matériel scénique|Menuiserie|Métallerie|Peinture (travaux)|Plâtrerie|Plomberie (travaux)|Réseaux divers|Revêtements de sols|Serrurerie|Terrassement|Ventilation|Voirie et réseaux divers",travaux de construction de la maison de quartiers des hauts de saint-aubin à angers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-3091,legacy,45210000,45210000|None|45261100|45261420|45442110|45421100|44316500|45421000|45421152|45410000|45421146|45331000|45317300|31640000|32400000|39113100|45313100|45432111,,49020,Angers cedex 02,,,,,
20-159340,2021-01-02,2021-02-15,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),Conception et mise en oeuvre d'agents conversationnels (chatbot),,20-32737|20-42663|20-56446,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-159340,legacy,72212221,72212221|79530000,,44966,Nantes cedex 9,600000.0,,,2020-10-29,2020-03-04
21-3671,2021-01-30,2021-02-27,,MASH,44,JOUE,MODIFICATION,Modification,,SERVICES,,Assistance technique|Assistance à maîtrise d'ouvrage|Assistance juridique,Mission d'amo technique et juridique des marchés et procédures du projet energiesprong pays de la loire,,20-72791|20-122894,,MODIFICATION,https://www.boamp.fr/pages/avis/?q=idweb:21-3671,legacy,72224000,72224000|None,,44800,Saint Herblain,1559820.0,16.0,DUREE_MOIS,2020-09-21,2020-10-13
21-4564,2021-01-12,2021-02-12,2021-02-12T11:00:00+00:00,Ecole Centrale de Nantes,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Logiciel,mise à disposition d'un système de vote dématérialisé par internet et services associés pour les élections des représentants des personnels et usagers aux différentes instances de l'ecn,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-4564,legacy,48000000,48000000,,44321,Nantes,,,,,
21-365,2021-01-07,2021-03-05,,Angers Loire Métropole,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (maintenance serveurs et réseaux),evolution du coeur de réseau,SFR (SOCIETE FRANCAISE DU RADIOTELEPHONE),20-85492,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-365,legacy,32424000,32424000|None,,49020,Angers cedex 02,225008.83,,,2020-12-03,2020-07-23
21-42629,2021-04-01,2021-06-10,,CH LE MANS,72,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Progiciel,Acquisition d'un progiciel de gestion des dossiers médicaux pour le Centre Hospitalier du Mans.,,21-37354,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:21-42629,legacy,48219300,48219300,,72037,Le mans cedex 09,,,,,
21-5415,2021-01-15,2021-04-16,,CHU de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,RESTREINT,FOURNITURES,5|1|,Articles à usage unique|Hygiène (articles)|Matériel de sécurité|Textile,Fourniture d'articles à usage unique pour le groupement régional des Pays de Loire (5 catégories),,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-5415,legacy,39550000,39550000|19520000|33760000|35113490|33000000|35113460,,44093,Nantes cedex,,96.0,DUREE_MOIS,,
20-153721,2021-01-07,2021-02-05,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Prestations de services,hébergement du data center de nantes métropole et prestations associées pour les besoins de nantes métropole,SIGMA INFORMATIQUE,20-26585|20-40291,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:20-153721,legacy,72250000,72250000,,,Nantes cedex 9,393275.9,,,2021-01-05,2020-02-26
21-47707,2021-04-11,2021-06-04,,CH LE MANS,72,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Matériel de téléphonie,"Pièces, accessoires, maintenance pour appel malade, anti-fugue et DATI pour les établissements membres du GHT 72",,21-28963,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:21-47707,legacy,32500000,32500000,,72037,Le mans cedex 09,,,,,
21-7561,2021-01-18,2021-02-03,2021-02-03T11:00:00+00:00,Nantes Métropole,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),prestations d'expertises et d'assistance informatique sur leslogiciels composant la solution de gestion des identités pour lecompte de nantes métropole et de la ville de nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-7561,legacy,72227000,72227000,,44929,Nantes cedex 9,,,,,
21-1371,2021-01-07,2021-04-04,,Cap Atlantique,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Chaussures ou articles chaussants|Habillement,Fourniture de vêtements et d'équipements de travail,Silium|Silium|Technidis Docks Maritimes,20-98937,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-1371,legacy,35113400,35113400|18100000,,44503,La Baule,550000.0,,,2020-12-30,2020-08-07
21-47892,2021-04-11,2021-06-01,,Université d'Angers,49,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Informatique (matériel),Fourniture et maintenance d'un système de gestion de la médecine du travail à l'Université d'Angers,,21-43310,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:21-47892,legacy,48814000,48814000,,49035,Angers cedex 01,,,,,
21-8751,2021-01-22,2021-02-19,,CENTRE DE GESTION DE LA FONCTION PUBLI,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (matériel)|Informatique (prestations de services)|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),RENOUVELLEMENT DE L'INFRASTRUCTURE DE VIRTUALISATION et MAINTIEN EN CONDITION OPERATIONNELLE,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-8751,legacy,72610000,72610000,,85000,La Roche sur Yon,,48.0,DUREE_MOIS,,
21-1809,2021-01-08,2021-03-06,,Commune de Saint-Herblain,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maintenance,Maintenance et prestations associées pour les logiciels de sécurité périmétriques et postes clients de la Ville de Saint-Herblain,APIXIT|APIXIT|ILLICO RESEAU,20-118247,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-1809,legacy,72250000,72250000|None,,44802,Saint herblain cedex,720000.0,,,2020-12-16,2020-10-02
21-11209,2021-01-25,2021-02-25,2021-02-16T11:00:00+00:00,Réseau Canopé,86|75|91|93|92|33|44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),"Réalisation, aménagement fonctionnel aux besoins et mise à disposition de la plateforme événementielle In-FINE, configuration et intégration des informations In-FINE, prestations techniques et moye..",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-11209,legacy,72413000,72413000,,86961,Futuroscope cedex,138500.0,5.0,DUREE_MOIS,,
21-2532,2021-01-09,2021-01-31,,Réseau Canopé,86|44|75|33,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),20-009 Prestations de conception et développement numériques,,20-23104|20-39867,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-2532,legacy,72000000,72000000,,86961,Futuroscope cedex,3200000.0,,,2020-05-12,2020-02-17
21-11865,2021-01-26,2021-04-14,2021-03-05T14:00:00+00:00,Cté de Communes de la Région de Blain,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Déploiement d'un logiciel de gestion pour les Etablissements d'accueil du Jeune Enfant et du Relais Petite Enfance du Pays de BLAIN,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:21-11865,legacy,72000000,72000000,,44130,Blain,,60.0,DUREE_MOIS,,
