uid,id,nature,objet,codeCPV,procedure,dureeMois,dateNotification,datePublicationDonnees,montant,offresRecues,donneesActuelles,sourceDataset,acheteur_id,acheteur_nom,acheteur_departement_code,acheteur_categorie,titulaire_id,titulaire_typeIdentifiant,titulaire_nom,lieuExecution_code,lieuExecution_typeCode
200068955000182020-120001,2020-120001,Marché,RACCORDEMENT DE L INSTALLATION DE PRODUCTION PHOTOVOLTAIQUE A TIERCE,32421000,Marché négocié sans publicité ni mise en concurrence préalable,19.0,2020-12-15,,86828.94,,True,aws_marches-publics.info_legacy,20006895500018,ANJOU LOIR ET SARTHE,49,Groupement de communes,44460844213631,SIRET,ENEDIS,49125,Code postal
200089993000222021100,2021100,Marché,RESERVOIR LA BROSSE ST OUEN EN CHAMPAGNE,48325000,Procédure adaptée,5.0,2020-12-15,2020-09-23,264965.0,,True,aws_marches-publics.info_legacy,20008999300022,SYNDICAT MIXTE D'ALIMENTATION EN EAU POTABLE (SMAEP) DE L'AUNAY - LA TOUCHE,72,Syndicat mixte,45081819000032,SIRET,TRASO,72430,Code commune
228500013006582020202021000400,2020202021000400,Marché,"Maintenance, fournitures et prestations spécifiques associées au logiciel Flora",72267000,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-12-14,2020-12-17,160000.0,,True,aws_marches-publics.info_legacy,22850001300658,DEPARTEMENT DE VENDEE,85,Département,33174639600042,SIRET,DECALOG,85000,Code postal
2685024240001620202020S2389600,20202020S2389600,ACCORD-CADRE,Abonnement à la solution de rappel et mobilisation des ressources en temps de crise hébergé en mode SAAS : PlanBlanc.com,48000000,,36.0,2020-12-14,2020-12-14,24660.0,,True,aife_dume,26850242400016,CHD LA ROCHE SUR YON LUCON MONTAIGU (CHD-VENDEE),85,Établissement hospitalier,82227698600046,SIRET,HUBLO,85,CODE DEPARTEMENT
1949097010030320202020F2457800,20202020F2457800,MARCHE SUBSEQUENT,Le présent marché subséquent concerne un équipement en vidéo projection,32321300,,12.0,2020-12-11,2020-12-11,2705.0,,True,aife_dume,19490970100303,UNIVERSITE D'ANGERS,49,,86180128000053,SIRET,SEDIM JACLEBERT (SEDIM),49,CODE DEPARTEMENT
2144003680001220202020181400,20202020181400,Marché,LOT14 EQUIPEMENTS SCENOGRAPHIQUES,48952000,Procédure adaptée,8.0,2020-12-11,2021-01-04,91353.0,,True,aws_marches-publics.info_legacy,21440036800012,COMMUNE DE CHATEAUBRIANT (MAIRIE),44,Commune,83790498600010,SIRET,INGENIERIE SCENIQUE AUDIOVISUELLE - I.S.A BY GROUPE SONOWEST,44146,Code postal
228500013006582020202021000700,2020202021000700,Marché,"Maintenance, fournitures et prestations spécifiques associées au logiciel AquaTIC",72000000,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-12-11,2020-12-17,100000.0,,True,aws_marches-publics.info_legacy,22850001300658,DEPARTEMENT DE VENDEE,85,Département,34255833500051,SIRET,AQUASCOP BIOLOGIE,85000,Code postal
284400017000182020S-JGlD3fLm00,2020S-JGlD3fLm00,MARCHE,SDIS44 - MAINTENANCE OXIO - GSN - RR-Support et maintien en condition opérationnelle du système d’information décisionnel édité par OXIO  ; acquisition de licences et modules supplémentaires ; fourniture de prestations complémentaires,35710000,Marché public négocié sans publicité ni mise en concurrence préalable,48.0,2020-12-11,2022-06-15,100000.0,,True,aife_dume,28440001700018,SCE DEPARTEMENTAL INCENDIE ET SECOURS,44,,45185971400037,SIRET,OXIO,44,CODE DEPARTEMENT
1944098430001920202020S1932700,20202020S1932700,MARCHE,"Acquisition de droits d’usage d’une solution logicielle de gestion énergétique, hébergée sur une plate-forme web locale ou déportée, pour l’Université de Nantes",72268000,Procédure adaptée,84.0,2020-12-09,2020-12-09,106658.59,,True,aife_dume,19440984300019,UNIVERSITE DE NANTES,44,,47955801700063,SIRET,ALTEREA,44,CODE DEPARTEMENT
2272000290001420202043900,20202043900,Accord-cadre,Maintenance solution DEMABOX,72267000,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-12-08,2020-12-18,72000.0,,True,aws_marches-publics.info_legacy,22720002900014,DEPARTEMENT DE LA SARTHE,72,Département,83149820900020,SIRET,STUDIA DIGITAL (IMNET FRANCE),72,Code département
228500013006582020202021000200,2020202021000200,Marché,"Prestations de maintenance, fourniture, hébergement et prestations associées au logiciel Suipi",72267000,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-12-08,2020-12-17,80000.0,,True,aws_marches-publics.info_legacy,22850001300658,DEPARTEMENT DE VENDEE,85,Département,40193351000018,SIRET,ARTSOFT,85000,Code postal
2685024240001620202020F1976400,20202020F1976400,MARCHE,La mise en place d’interface entre la solution DxCare et ResUrgences suite au changement de logiciel de prise en charge du patient aux Urgences du CH Côte de Lumière.,48000000,,12.0,2020-12-08,2020-12-08,44855.0,,True,aife_dume,26850242400016,CHD LA ROCHE SUR YON LUCON MONTAIGU (CHD-VENDEE),85,Établissement hospitalier,31955723700140,SIRET,DEDALUS FRANCE (DEDALUS),85,CODE DEPARTEMENT
224400028000112020I172BMS0900,2020I172BMS0900,Accord-cadre,GESTIONNAIRE PRODUITS,72600000,Appel d'offres ouvert,12.0,2020-12-07,2020-12-18,210000.0,,True,aws_marches-publics.info_legacy,22440002800011,DEPARTEMENT DE LA LOIRE-ATLANTIQUE,44,Département,30906508400134,SIRET,APSIDE,DEP,Code commune
21440132500011202060909300,202060909300,Accord-cadre,"ACQUISITION DE LICENCES, DE LOGICIELS BUREAUTIQUES, DE LOGICIELS SPECIALISE, SYSTEME D’EXPLOITATION",48800000,Appel d'offres ouvert,12.0,2020-12-04,2021-02-12,80000.0,,True,aws_marches-publics.info_legacy,21440132500011,COMMUNE DE PORNICHET (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44380,Code postal
21440132500011202075355700,202075355700,Accord-cadre,"ACQUISITION D’ELEMENTS RESEAUX : SWITCH, BORNES WIFI, ACCESSOIRES RESEAUX, ETC",32420000,Appel d'offres ouvert,12.0,2020-12-04,2020-12-09,20000.0,,True,e-marchespublics.com_dematis,21440132500011,COMMUNE DE PORNICHET (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44380,Code postal
21440132500011202075356000,202075356000,Accord-cadre,"ACQUISITION DE LICENCES, DE LOGICIELS BUREAUTIQUES, DE LOGICIELS SPECIALISES ET DE SYSTEMES D’EXPLOITATION : MICROSOFT, ADOBE, VMWARE, VEEAM ETC",48800000,Appel d'offres ouvert,12.0,2020-12-04,2020-12-09,80000.0,,True,e-marchespublics.com_dematis,21440132500011,COMMUNE DE PORNICHET (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44380,Code postal
214401846000162020060909MVB00,2020060909MVB00,Accord-cadre,"ACQUISITION D&#8217;ELEMENT RESEAUX SWITCH, BORNES WIFI, ACCESSOIRES RESEAUX ETC",32420000,Appel d'offres ouvert,48.0,2020-12-04,2020-12-23,720000.0,,True,aws_marches-publics.info_legacy,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44184,Code commune
214401846000162020060909MVB01,2020060909MVB01,Accord-cadre,"ACQUISITION D&#8217;ELEMENT RESEAUX SWITCH, BORNES WIFI, ACCESSOIRES RESEAUX ETC",32420000,Appel d'offres ouvert,48.0,2020-12-04,2020-12-23,720000.0,,True,aws_marches-publics.info_legacy,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44184,Code commune
214401846000162020060909MVC00,2020060909MVC00,Accord-cadre,ACQUIS LICENCES LOGICIELS BUREAUTIQUES DE LOGICIELS SPECIALISES ET DE SYSTEMES D EXPLOITATION  MICROSOFT ADOBE VMWARE VEEAM ETC,48000000,Appel d'offres ouvert,48.0,2020-12-04,2020-12-23,4320000.0,,True,aws_marches-publics.info_legacy,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44184,Code commune
214401846000162020060909MVC01,2020060909MVC01,Accord-cadre,ACQUIS LICENCES LOGICIELS BUREAUTIQUES DE LOGICIELS SPECIALISES ET DE SYSTEMES D EXPLOITATION  MICROSOFT ADOBE VMWARE VEEAM ETC,48000000,Appel d'offres ouvert,48.0,2020-12-04,2020-12-23,4320000.0,,True,aws_marches-publics.info_legacy,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),44,Commune,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44184,Code commune
234400034000262020S00151,2020S00151,Marché,EVOLUTION DES INFRASTRUCTURES WIFI DES LYCEES PUBLICS ET E.R.E.A - Durée : 12 mois reconductible 3 fois 12 mois - Montant minimum pour 12 mois : 300 000 euros HTVA - Montant maximum pour 12 mois : 1 000 000 euros HTVA.,32412110,Appel d'offres ouvert,48.0,2020-12-04,2024-10-06,4000000.0,2.0,True,atexo_pays_loire,23440003400026,REGION DES PAYS DE LA LOIRE (CONSEIL REGIONAL DES PAYS DE LA LOIRE),44,Région,417727559SARL,SIRET,,72,Code département
244400644000132020060909MVB00,2020060909MVB00,Accord-cadre,"ACQUISITION D&#8217;ELEMENT RESEAUX SWITCH, BORNES WIFI, ACCESSOIRES RESEAUX ETC",32420000,Appel d'offres ouvert,48.0,2020-12-04,2020-12-23,200000.0,,True,aws_marches-publics.info_legacy,24440064400013,COMMUNAUTE D'AGGLO DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE,44,Groupement de communes,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44013,Code commune
244400644000132020060909MVC00,2020060909MVC00,Accord-cadre,ACQUIS LICENCES LOGICIELS BUREAUTIQUES DE LOGICIELS SPECIALISES ET DE SYSTEMES D EXPLOITATION  MICROSOFT ADOBE VMWARE VEEAM ETC,48000000,Appel d'offres ouvert,48.0,2020-12-04,2020-12-23,800000.0,,True,aws_marches-publics.info_legacy,24440064400013,COMMUNAUTE D'AGGLO DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE,44,Groupement de communes,33156643000244,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44013,Code commune
264400524001302020060909MVB00,2020060909MVB00,Accord-cadre,"ACQUISITION D&#8217;ELEMENT RESEAUX SWITCH, BORNES WIFI, ACCESSOIRES RESEAUX ETC",32420000,Appel d'offres ouvert,48.0,2020-12-04,2021-09-20,72000.0,,True,aws_marches-publics.info_legacy,26440052400130,CENTRE COMMUNAL D'ACTION SOCIALE,44,,33156643000384,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44184,Code commune
264400524001302020060909MVC00,2020060909MVC00,Accord-cadre,ACQUIS LICENCES LOGICIELS BUREAUTIQUES DE LOGICIELS SPECIALISES ET DE SYSTEMES D EXPLOITATION  MICROSOFT ADOBE VMWARE VEEAM ETC,48000000,Appel d'offres ouvert,48.0,2020-12-04,2021-09-20,72000.0,,True,aws_marches-publics.info_legacy,26440052400130,CENTRE COMMUNAL D'ACTION SOCIALE,44,,33156643000384,SIRET,ECONOCOM PRODUCTS & SOLUTIONS,44184,Code commune
1949097010030320202020F2457900,20202020F2457900,MARCHE SUBSEQUENT,Le présent marché subséquent a pour objet l’installation de vidéoprojecteurs courte focale interactifs et de matériels complémentaires (Laboratoire de bactériologie),32321300,,60.0,2020-12-03,2020-12-03,5146.6,,True,aife_dume,19490970100303,UNIVERSITE D'ANGERS,49,,87755703300017,SIRET,ELACOM,49,CODE DEPARTEMENT
200067635000172020000000016C00,2020000000016C00,Marché,ELABORATION DU PROJET DE TERRITOIRE 2020-2030,72224000,Procédure adaptée,13.0,2020-12-03,2021-04-02,53375.0,,True,aws_marches-publics.info_legacy,20006763500017,CA CLISSON SEVRE ET MAINE AGGLO,44,Groupement de communes,42901223000034,SIRET,KPMG EXPERTISE ET CONSEIL,44190,Code postal
224400028000112018I1612103,2018I1612103,Marché,RECONSTRUCTION DU CDEF ST SEBASTIEN SUR LOIRE,32400000,Appel d'offres ouvert,20.0,2020-12-03,2021-01-21,87944.42,,True,aws_marches-publics.info_legacy,22440002800011,DEPARTEMENT DE LA LOIRE-ATLANTIQUE,44,Département,39270711300024,SIRET,BUREAU T.P. (TRAVAUX PUBLICS),44190,Code commune
20006001000044202009B451L06D00,202009B451L06D00,Marché,Modernisation et mise aux normes de la déchèterie de St-Pierre-Montlimart (commune nouvelle de Montrevault-sur-Evre dans le Maine-et-Loire): Lot 6: Contrôle d’accès,35125000,Procédure adaptée,1.0,2020-12-01,2020-12-03,20711.0,,True,e-marchespublics.com_dematis,20006001000044,MAUGES COMMUNAUTE (ORDURES MENAGERES),49,Groupement de communes,39505631000299,SIRET,ADEMI PESAGE,49600,Code postal
