contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,rule_name,event_definition,is_censored
BOAMP:19-41115,BOAMP,SIREN:234400034,31.0,Unknown,2019-06-11,24.0,1,22.63,,22.63,BOAMP:21-57207,100000.0,OUVERT,SERVICES,False,2021-06-10,attribution_award_date,calibrated_rule,0.5878,0.7086,0.0,True,0.7717,0,0,0,0.5878,,,1,True,False,balanced,calibrated_balanced,0
BOAMP:19-43213,BOAMP,NAME:ctre hosp universitaire angers,72.0,IT Services & Consulting,2019-03-20,48.0,0,69.42,69.42,,,,PROCEDURE_ADAPTE,SERVICES,True,2023-03-20,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-46630,BOAMP,NAME:le mans,35.0,Cybersecurity,2019-03-25,18.0,1,18.73,,18.73,BOAMP:20-70746,,PROCEDURE_ADAPTE,TRAVAUX,False,2020-09-22,publication_date,calibrated_rule,0.5472,0.5538,0.0,True,0.8783,0,0,0,0.5472,,,1,True,False,balanced,calibrated_balanced,0
BOAMP:19-47604,BOAMP,NAME:sgami ouest bzamp,45.0,Telecom & Networks,2019-03-26,12.0,0,69.22,69.22,,,,PROCEDURE_ADAPTE,TRAVAUX,False,2020-03-25,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-48376,BOAMP,NAME:gpm de nantes st nazaire,32.0,Telecom & Networks,2019-08-12,48.0,0,64.65,64.65,,,,OUVERT,SERVICES,False,2023-08-12,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-51014,BOAMP,SIREN:110006012,32.0,IT Hardware & Equipment,2019-03-29,12.0,0,69.12,69.12,,,90000.0,PROCEDURE_ADAPTE,FOURNITURES,False,2020-03-28,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-50622,BOAMP,NAME:iphv les hauts thebaudieres,72.0,IT Services & Consulting,2019-03-29,48.0,0,69.12,69.12,,,,PROCEDURE_ADAPTE,SERVICES,True,2023-03-29,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-49300,BOAMP,SIREN:214900995,32.0,Telecom & Networks,2019-07-08,24.0,0,65.8,65.8,,,400000.0,OUVERT,FOURNITURES,False,2021-07-07,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-50035,BOAMP,NAME:rennes 1,32.0,IT Hardware & Equipment,2019-03-30,12.0,0,69.09,69.09,,,300000.0,OUVERT,FOURNITURES,False,2020-03-29,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-51024,BOAMP,NAME:ville d ancenis saint gereon,35.0,Cybersecurity,2019-07-11,48.0,0,65.7,65.7,,,,OUVERT,FOURNITURES,True,2023-07-11,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
