buyer_name_raw,buyer_name_clean,buyer_key,dept_code,city,postal_code,n_notices,n_appel_offre,has_existing_boamp_siret,existing_siret_values
Université de Nantes,nantes,NAME:nantes,44,Nantes cedex 1,44035,45,23,False,
Centre hospitalier de Laval,de laval,NAME:de laval,53,Laval,53015,1,1,False,
Office Public de l'Habitat,office public de l habitat,NAME:office public de l habitat,49,Angers cedex 01,49001,1,0,False,
VILLE DE LA BAULE-ESCOUBLAC,la baule escoublac,NAME:la baule escoublac,44,La baule cedex,44504,2,2,False,
ASSOCIATION E-TOILE,association e toile,NAME:association e toile,14,CAEN,14053,5,3,False,
EHPAD RESIDENCES LES LIGERIENNES,ehpad residences les ligeriennes,NAME:ehpad residences les ligeriennes,49,Saint Georges sur Loire,49170,1,1,False,
Centre Hospitalier Spécialisé de Blain,specialise de blain,NAME:specialise de blain,44,BLAIN,44130,1,1,False,
Loire Océan Métropole Aménagement,loire ocean metropole amenagement,NAME:loire ocean metropole amenagement,44,Nantes,44035,9,6,False,
Loire Ocean developpement,loire ocean developpement,NAME:loire ocean developpement,44,Saint-Herblain cédex,44035,7,5,False,
Département de Maine-et-Loire,maine et loire,NAME:maine et loire,49,Angers Cedex 9,49941,23,14,False,
Nantes Métropole Habitat,nantes metropole habitat,NAME:nantes metropole habitat,44,Nantes Cedex 1,44036,5,2,False,
Syndicat Vendée des Iles,syndicat vendee des iles,NAME:syndicat vendee des iles,85,SAINT-JEAN-DE-MONTS Cedex,85167,2,1,False,
LYCEE POLYVALENT LEONARD DE VINCI,lycee polyvalent leonard de vinci,NAME:lycee polyvalent leonard de vinci,85,MONTAIGU,85600,6,6,False,
ARAFER,arafer,NAME:arafer,72,Le Mans,72019,13,9,False,
CROUS de Nantes,crous de nantes,NAME:crous de nantes,44,Nantes cedex 3,44322,9,5,False,
Com Communes du Pays d'Ancenis,com communes du pays d ancenis,NAME:com communes du pays d ancenis,44,Ancenis,44156,2,1,False,
SMIRGEOM Est Sarthe,smirgeom est sarthe,NAME:smirgeom est sarthe,72,Saint Calais,72120,1,1,False,
CAP ATLANTIQUE,cap atlantique,NAME:cap atlantique,44,LA BAULE,44503,6,4,True,443928874
SDIS 49,49,NAME:49,49,Beaucouzé,49071,4,2,False,
Cté de Cnes de la Vallée de Clisson,cte de cnes de la vallee de clisson,NAME:cte de cnes de la vallee de clisson,44,Clisson,44194,1,1,False,
C.S.T.B.,c s t b,NAME:c s t b,6,champs sur marne,77420,2,2,False,
Ville de Noyal-Châtillon sur Seiche,noyal chatillon sur seiche,NAME:noyal chatillon sur seiche,35,Noyal-châtillon sur seiche,35230,1,1,False,
CPAM de la Sarthe,cpam de la sarthe,NAME:cpam de la sarthe,72,LE MANS,72000,2,1,False,
SYND MIXTE DU PAYS DE COUTANCES,synd mixte du pays de coutances,NAME:synd mixte du pays de coutances,50,Coutances,50200,1,1,False,
Rectorat de l'Académie de Dijon,rectorat de l academie de dijon,NAME:rectorat de l academie de dijon,21,DIJON,21000,1,1,False,
C.H.D La Roche Sur Yon-Luçon-Montaigu,c h d la roche sur yon lucon montaigu,NAME:c h d la roche sur yon lucon montaigu,85,La roche sur yon cedex 9,85925,3,1,False,
Centre des monuments nationaux,centre des monuments nationaux,NAME:centre des monuments nationaux,75,Paris,75186,1,1,False,
Université Européenne de Bretagne,universite europeenne de bretagne,NAME:universite europeenne de bretagne,35,Rennes cedex,35044,1,1,False,
CPAM de Loire-Atlantique,cpam de loire atlantique,NAME:cpam de loire atlantique,44,Nantes cedex 09,44958,1,1,False,
COMMUNAUTE de COMMUNES des COEVRONS,communes des coevrons,NAME:communes des coevrons,53,CHATRES la FORET,53600,1,1,False,
INSEE,insee,NAME:insee,44,Montrouge cedex,92120,5,2,False,
Ville d'Avrillé,ville d avrille,NAME:ville d avrille,49,Avrillé,49241,1,1,False,
Ville de Thouaré-sur-Loire,thouare sur loire,NAME:thouare sur loire,44,Carquefou Cédex,44473,5,4,False,
Ville d'Orvault,ville d orvault,NAME:ville d orvault,44,Orvault,44706,8,7,False,
Commune de la Chevrolière,la chevroliere,NAME:la chevroliere,44,La Chevroliere,44118,1,1,False,
Vendée Expansion,vendee expansion,NAME:vendee expansion,85,La roche sur yon cedex,85005,19,10,False,
Ville de Saint-Hilaire-de-Riez,saint hilaire de riez,NAME:saint hilaire de riez,85,Saint Hilaire de Riez,85270,1,1,False,
INSTITUT 4.10,institut 4 10,NAME:institut 4 10,75,Nantes,44400,1,1,False,
DIRISI,dirisi,NAME:dirisi,29,Brest-cedex-9,29240,9,4,False,
CARENE,carene,NAME:carene,44,Saint-Nazaire cédex,44605,12,8,False,
FONDAT REGION OUEST LIGUE CANCER,fondat region ouest ligue cancer,NAME:fondat region ouest ligue cancer,35,Rennes Cedex,35042,1,1,False,
CENTRE COMMUNAL D ACTION SOCIALE,centre communal d action sociale,NAME:centre communal d action sociale,49,ANGERS,49130,2,1,False,
SDEGM,sdegm,NAME:sdegm,53,CHANGE,53810,2,2,False,
MAINE LOIRE HABITAT OFFICE PUB HABITAT,maine loire habitat office pub habitat,NAME:maine loire habitat office pub habitat,49,Angers,49001,7,4,False,
SICTIAM,sictiam,NAME:sictiam,6,Vallauris,06225,1,1,False,
IPHV LES HAUTS THEBAUDIERES,iphv les hauts thebaudieres,NAME:iphv les hauts thebaudieres,44,Vertou Cedex,44122,2,2,False,
Communauté de Communes de Grand Lieu,communes de grand lieu,NAME:communes de grand lieu,44,La chevroliere,44118,5,4,False,
MAIRIE DE SAINT SATURNIN,saint saturnin,NAME:saint saturnin,72,Saint Saturnin,72650,1,1,False,
Agence Régionale Pays de la Loire TI,agence regionale pays de la loire ti,NAME:agence regionale pays de la loire ti,44,Nantes,44202,2,2,False,
Inst. Interdpt bassin Sèvre Niortaise,inst interdpt bassin sevre niortaise,NAME:inst interdpt bassin sevre niortaise,85,Niort cedex,79028,1,1,False,
Mairie du croisic,mairie du croisic,NAME:mairie du croisic,44,LE CROISIC,44490,2,2,False,
CHD VENDEE,chd vendee,NAME:chd vendee,85,La roche sur yon cedex 9,85925,21,8,True,50937719800023|52859061500035
Le Grand T - Théâtre Loire-Atlantique,le grand t theatre loire atlantique,NAME:le grand t theatre loire atlantique,44,Nantes,44000,2,2,False,
Conseil départemental Loire-Atlantique,loire atlantique,NAME:loire atlantique,44,NANTES,44041,47,29,False,
SYNDICAT MIXTE OUVERT ANJOU NUMERIQUE,syndicat mixte ouvert anjou numerique,NAME:syndicat mixte ouvert anjou numerique,49,Angers cedex 9,49941,2,1,False,
Communauté de communes de l'Ernée,communes de l ernee,NAME:communes de l ernee,53,ERNEE,38170,2,1,True,443928874
DIR INTERDEPARTEMENTALE ROUTES OUEST,dir interdepartementale routes ouest,NAME:dir interdepartementale routes ouest,35,Rennes cedex,35061,7,4,False,
Centre de Gestion FPT Loire-Atlantique,centre de gestion fpt loire atlantique,NAME:centre de gestion fpt loire atlantique,44,Nantes cedex 2,44262,1,1,False,
