buyer_name_raw,buyer_name_clean,buyer_key,buyer_key_enriched,enriched_siren,enriched_siret,enriched_name,enrichment_score,enrichment_confidence,enrichment_source,enrichment_status,diagnostic,n_candidates,margin
Centre Hospitalier Loire Vendée Océan,loire vendee ocean,NAME:loire vendee ocean,SIREN:268504453,268504453,26850445300013,CENTRE HOSPITALIER LOIRE VENDEE OCEAN (CHLVO),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=7, margin=68.0",7,68.0
Cté de Communes du Pays des Herbiers,cte de communes du pays des herbiers,NAME:cte de communes du pays des herbiers,NAME:cte de communes du pays des herbiers,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Ecole des Mines de Nantes,ecole des mines de nantes,NAME:ecole des mines de nantes,SIREN:523699148,523699148,52369914800012,FONDS DE DOTATION DE L'ECOLE DES MINES DE NANTES,78.6,HIGH,api_recherche_entreprises,matched,"score=78.6, n_cands=8, margin=16.7",8,16.7
SDIS 44,44,NAME:44,SIREN:284400017,284400017,28440001700018,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=42.3",10,42.3
INRA Angers Nantes,inra angers nantes,NAME:inra angers nantes,NAME:inra angers nantes,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
MONTREVAULT-SUR-ÈVRE,montrevault sur evre,NAME:montrevault sur evre,SIREN:200054302,200054302,20005430200019,COMMUNE DE MONTREVAULT-SUR-EVRE,88.0,HIGH,api_recherche_entreprises,matched,"score=88.0, n_cands=10, margin=-6.5",10,-6.5
Conseil départemental de la Mayenne,de la mayenne,NAME:de la mayenne,SIREN:225300011,225300011,22530001100015,DEPARTEMENT DE LA MAYENNE,81.8,HIGH,api_recherche_entreprises,matched,"score=81.8, n_cands=1, margin=N/A",1,
Cté Cnes Coeur d'Estuaire,cte cnes coeur d estuaire,NAME:cte cnes coeur d estuaire,NAME:cte cnes coeur d estuaire,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
DREAL Pays de la Loire,dreal pays de la loire,NAME:dreal pays de la loire,NAME:dreal pays de la loire,,,,44.8,NO_MATCH,api_recherche_entreprises,no_match,score=44.8 (below LOW threshold),2,9.0
Département de la Vendée,la vendee,NAME:la vendee,SIREN:228500013,228500013,22850001300658,DEPARTEMENT DE VENDEE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
MINDEF/DGA/DO/S2A,mindef dga do s2a,NAME:mindef dga do s2a,NAME:mindef dga do s2a,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Laval Agglomération,laval agglomeration,NAME:laval agglomeration,SIREN:200083392,200083392,20008339200015,LAVAL AGGLOMERATION,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=9.4",10,9.4
Hopital Intercommunal Sèvre et Loire,hopital intercommunal sevre et loire,NAME:hopital intercommunal sevre et loire,NAME:hopital intercommunal sevre et loire,,,,25.6,NO_MATCH,api_recherche_entreprises,no_match,score=25.6 (below LOW threshold),1,
Centre Hospitalier de Saint-Nazaire,de saint nazaire,NAME:de saint nazaire,SIREN:264400268,264400268,26440026800456,CENTRE HOSPITALIER SAINT NAZAIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=20.9",10,20.9
CCI de Maine et Loire,cci de maine et loire,NAME:cci de maine et loire,NAME:cci de maine et loire,,,,60.6,LOW,api_recherche_entreprises,matched,score=60.6 (below MEDIUM threshold),7,15.3
COMSOPGN,comsopgn,NAME:comsopgn,NAME:comsopgn,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Cour d'Appel de Rennes,cour d appel de rennes,NAME:cour d appel de rennes,SIREN:173501115,173501115,17350111500013,COUR D APPEL DE RENNES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=3, margin=44.1",3,44.1
CCAS d'Angers,ccas d angers,NAME:ccas d angers,NAME:ccas d angers,,,,38.8,NO_MATCH,api_recherche_entreprises,no_match,score=38.8 (below LOW threshold),4,-0.2
CAF de la Somme,caf de la somme,NAME:caf de la somme,NAME:caf de la somme,,,,43.3,NO_MATCH,api_recherche_entreprises,no_match,score=43.3 (below LOW threshold),1,
Université de Nantes,nantes,NAME:nantes,SIREN:130029747,130029747,13002974700016,NANTES UNIVERSITE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=34.1",2,34.1
