buyer_name_raw,buyer_name_clean,buyer_key,dept_code,query_used,entity_type_detected,nature_juridique_filter,candidate_rank,candidate_siren,candidate_siret,candidate_name,candidate_naf,candidate_nature_juridique,candidate_city,candidate_postal_code,name_similarity,dept_match,enrichment_score
Ville d'Angers,ville d angers,NAME:ville d angers,49,ville angers,DEFAULT,,5.0,102707916,10270791600015,SOCIETE DES FETES ET MANIFESTATIONS PUBLIQUES DE LA VILLE D'ANGERS,94.99Z,9220,ANGERS,49100,51.6,True,51.6
Ville d'Angers,ville d angers,NAME:ville d angers,49,ville angers,DEFAULT,,6.0,429161318,42916131800028,"COMITE D'ACTION SOCIALE DU PERSONNEL DE LA VILLE D'ANGERS, D'ANGERS LOIRE METROPOLE ET DU CENTRE COMMUNAL D'ACTION SOCIA",94.99Z,9220,ANGERS,49100,30.2,True,30.2
Ville d'Angers,ville d angers,NAME:ville d angers,49,ville angers,DEFAULT,,7.0,528810393,52881039300017,ALTER SERVICES,42.99Z,5599,ANGERS,49000,53.8,True,53.8
Ville d'Angers,ville d angers,NAME:ville d angers,49,ville angers,DEFAULT,,8.0,839657749,83965774900025,ANGERS LOIRE DEVELOPPEMENT (ALDEV),84.13Z,5599,ANGERS,49100,54.0,True,54.0
Ville d'Angers,ville d angers,NAME:ville d angers,49,ville angers,DEFAULT,,9.0,058201526,05820152600090,ALTER CITES,71.12B,5515,ANGERS,49100,52.2,True,52.2
Ville d'Angers,ville d angers,NAME:ville d angers,49,ville angers,DEFAULT,,10.0,390322055,39032205500281,ASS FONDATION ETUDIANTE POUR LA VILLE,88.99B,9220,PARIS,75010,62.1,False,62.1
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,1.0,110006012,11000601200014,MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES,84.11Z,7113,PARIS,75007,97.2,True,97.2
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,2.0,775667223,77566722300066,ASSOCIATION DES OEUVRES SOCIALES DU MINISTERE DES AFFAIRES ETRANGERES (ADOS DU MAE),86.21Z,9220,PARIS,75007,77.0,True,77.0
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,3.0,130019391,13001939100015,SECRETARIAT GENERAL DU MINISTERE DES AFFAIRES ETRANGERES (SG),84.11Z,7120,PARIS,75007,79.6,True,79.6
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,4.0,520315052,52031505200016,ASSOCIATION DES RETRAITES DU MINISTERE DES AFFAIRES ETRANGERES (AREMAE),94.99Z,9220,PARIS,75007,85.3,True,85.3
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,5.0,501546659,50154665900019,SYNDICAT NATIONAL CGT DU MINISTERE DES AFFAIRES ETRANGERES,94.20Z,9220,PARIS,75007,89.7,True,89.7
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,6.0,110006020,11000602000025,MINISTERE DELEGUE AUPRES DU MINISTERE DE L’EUROPE ET DES AFFAIRES ETRANGERES CHARGE DE L’EUROPE,84.11Z,7113,PARIS,75007,63.8,True,63.8
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,7.0,130020225,13002022500012,HAUT FONCTIONNAIRE CORRESPONDANT DE DEFENSE ET DE SECURITE MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES (HFDS),84.11Z,7120,PARIS,75015,56.3,True,56.3
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,8.0,852549492,85254949200019,SYNDICAT NATIONAL CFTC DES AGENTS DU MINISTERE DES AFFAIRES ETRANGERES (CFTC-FAE-MAE),94.20Z,8410,PARIS,75007,71.0,True,71.0
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,9.0,110006053,11000605300018,"MIN. DEL. AUPRES DU MINISTERE DE L’EUROPE ET DES AFFAIRES ETRANGERES, CHARGE DU COMMERCE EXTERIEUR ET DE L’ATTRACTIVITE",84.11Z,7113,PARIS,75007,56.7,True,56.7
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,ministere affaires etrangeres,DEFAULT,,10.0,852749431,85274943100015,FEMMES ET DIPLOMATIE,94.99Z,9220,PARIS,75007,30.4,True,30.4
SDIS du Maine et Loire,du maine et loire,NAME:du maine et loire,49,incendie secours,SDIS,7372,1.0,284900016,28490001600023,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),84.25Z,7372,BEAUCOUZE,49070,100.0,True,100.0
SDIS du Maine et Loire,du maine et loire,NAME:du maine et loire,49,incendie secours,SDIS,7372,2.0,104225453,10422545300018,AMICALE  DU PERSONNEL DE LA DIRECTION DEPARTEMENTALE DES SERVICES D'INCENDIE ET DE SECOURS DE MAINE-ET-LOIRE,94.99Z,9220,BEAUCOUZE,49070,62.0,True,62.0
SDIS du Maine et Loire,du maine et loire,NAME:du maine et loire,49,incendie secours,SDIS,7372,3.0,794895805,79489580500016,AMICALE DES SAPEURS POMPIERS DU MAY SUR EVRE,94.99Z,9220,LE MAY-SUR-EVRE,49122,47.2,True,47.2
Ville de La Roche-sur-Yon,la roche sur yon,NAME:la roche sur yon,85,commune la roche sur yon,COMMUNE,7210,1.0,218501914,21850191400566,COMMUNE DE LA ROCHE-SUR-YON,84.11Z,7210,LA ROCHE-SUR-YON,85000,100.0,True,100.0
RESIDENCES SAINT ALEXANDRE,residences saint alexandre,NAME:residences saint alexandre,85,residences saint alexandre,DEFAULT,,1.0,912642790,91264279000022,ALEXANDRE VIGIER,68.20A,1000,SAINT-HILAIRE-DE-RIEZ,85270,59.8,True,59.8
Commune de Saint-Herblain,saint herblain,NAME:saint herblain,44,commune saint herblain,COMMUNE,7210,1.0,214401622,21440162200011,COMMUNE DE SAINT-HERBLAIN,84.11Z,7210,SAINT-HERBLAIN,44800,100.0,True,100.0
Commune de Saint-Herblain,saint herblain,NAME:saint herblain,44,commune saint herblain,COMMUNE,7210,2.0,214400749,21440074900013,COMMUNE D'INDRE,84.11Z,7210,INDRE,44610,59.8,True,59.8
SDIS 85,85,NAME:85,85,incendie secours,SDIS,7372,1.0,288500010,28850001000013,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),84.25Z,7372,ROCHE SUR YON (LA),85000,100.0,True,100.0
SDIS 85,85,NAME:85,85,incendie secours,SDIS,7372,2.0,103010617,10301061700019,AMICALE DES SAPEURS-POMPIERS DU CTA/CODIS DE LA VENDEE,94.99Z,9220,ROCHE SUR YON (LA),85000,47.5,True,47.5
SDIS 85,85,NAME:85,85,incendie secours,SDIS,7372,3.0,528149073,52814907300017,ASSO DEPARTEMENTALE ELEVES SAPEURS POMPIERS VENDEE (ADJSP),94.99Z,9220,ROCHE SUR YON (LA),85000,54.7,True,54.7
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,1.0,264900390,26490039000016,CENTRE HOSPITALIER DE CHOLET,86.10Z,7364,CHOLET,49300,100.0,True,100.0
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,2.0,994207850,99420785000011,ASSOCIATION DES INTERNES DU CENTRE HOSPITALIER DE CHOLET,94.12Z,9220,CHOLET,49300,92.7,True,92.7
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,3.0,810683300,81068330000018,ASSOCIATION DES EHPAD DU CENTRE HOSPITALIER DE CHOLET,94.99Z,9220,CHOLET,49300,97.3,True,97.3
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,4.0,438799942,43879994200018,I.R.M. DU CHOLETAIS,86.22A,6220,CHOLET,49300,45.0,True,45.0
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,5.0,379289069,37928906900013,AMICALE DES HOSPITALIERS,94.99Z,9220,CHOLET,49300,66.7,True,66.7
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,6.0,542095336,54209533619559,"LAGARDERE TRAVEL RETAIL FRANCE (COFEC - RELAY, RELAY STORE, RELAY SHOP, RELAY WEB, RELAY INTERNATIONAL)",47.62Z,5202,LEVALLOIS-PERRET,92300,30.0,False,30.0
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,7.0,302666060,30266606000173,EXPANSION CENTRES HEMODIALYSE OUEST (ECHO),86.10Z,9220,NANTES,44200,55.4,False,55.4
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,8.0,808098297,80809829700027,MAXIME BARRE,86.22B,1000,NANTES,44200,32.4,False,32.4
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,9.0,751034224,75103422400020,EMILIE LARUE (AWAZU),86.22C,1000,CHOLET,49300,32.6,True,32.6
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,centre hospitalier cholet,HOSP,7362,10.0,941023780,94102378000013,GUILLAUME TESTU DE BALINCOURT,86.22C,1000,CHOLET,49300,31.4,True,31.4
