src_idweb,src_buyer_key,src_cpv,src_contract_start,src_duration_months,src_objet,cand_idweb,cand_contract_start,cand_cpv,cand_objet,gap_months,buyer_match_score,cpv_match_score,cpv_used_in_score,text_similarity_score,temporal_proximity_score,composite_score
19-109269,SIREN:214401093,35300000.0,2019-08-02,24.0,"fourniture de pistolets à impulsion électrique, munitions et accessoires pour la police municipale de la ville de nantes",21-152470,2021-11-17,32320000.0,"location, installation et mise en service de matériels de projection, de son et de câblages pour les élections : présidentielles, législatives de 2022 et les élections européennes de 2024",27.53,1.0,0.0,True,0.2,0.4117,0.3123
20-29244,SIREN:214401093,35300000.0,2020-02-27,48.0,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropol",24-33685,2024-03-22,31500000.0,ACQUISITION DE MATÉRIELS POUR LES SALLES DE SPECTACLE,48.78,1.0,0.0,True,0.2416,0.8693,0.4205
20-29244,SIREN:214401093,35300000.0,2020-02-27,48.0,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropol",24-56228,2024-05-16,35811200.0,"Fourniture de vêtements et chaussures pour les agents de la Police Municipale, les agents de l?Unité Métropolitaine des Transports en Commun et de la Brigade de l?Espace Public",50.59,1.0,0.2,True,0.6111,0.5681,0.5581
20-29244,SIREN:214401093,35300000.0,2020-02-27,48.0,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropol",24-62208,2024-05-30,72243000.0,Mission de programmation et d assistance à maîtrise d ouvrage pour la construction  d une unité centrale de production de repas et base logistique de transformation primaire de la Ville de Nantes,51.05,1.0,0.0,True,0.2313,0.4915,0.3408
20-29934,SIREN:214401093,35811200.0,2020-02-28,48.0,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie",23-130386,2023-09-20,32540000.0,Prise en charge des appels téléphoniques pour discriminations,42.71,1.0,0.0,True,0.2777,0.1178,0.2846
20-29934,SIREN:214401093,35811200.0,2020-02-28,48.0,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie",24-33685,2024-03-22,31500000.0,ACQUISITION DE MATÉRIELS POUR LES SALLES DE SPECTACLE,48.75,1.0,0.0,True,0.3094,0.8747,0.4487
20-29934,SIREN:214401093,35811200.0,2020-02-28,48.0,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie",24-56228,2024-05-16,35811200.0,"Fourniture de vêtements et chaussures pour les agents de la Police Municipale, les agents de l?Unité Métropolitaine des Transports en Commun et de la Brigade de l?Espace Public",50.56,1.0,1.0,True,0.9625,0.5736,0.8997
20-29934,SIREN:214401093,35811200.0,2020-02-28,48.0,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie",24-62208,2024-05-30,72243000.0,Mission de programmation et d assistance à maîtrise d ouvrage pour la construction  d une unité centrale de production de repas et base logistique de transformation primaire de la Ville de Nantes,51.02,1.0,0.0,True,0.365,0.4969,0.3954
20-28749,SIREN:214401093,32323500.0,2020-03-11,48.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,23-31575,2023-09-11,72312000.0,rétro-conversion de fiches papier de livres imprimés du service patrimoine,42.02,1.0,0.0,True,0.202,0.0028,0.2314
20-28749,SIREN:214401093,32323500.0,2020-03-11,48.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,23-130386,2023-09-20,32540000.0,Prise en charge des appels téléphoniques pour discriminations,42.31,1.0,0.2,True,0.282,0.0521,0.3232
