contract_id,renewal_contract_id,event,composite_score,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,text_similarity,cpv_match_score,temporal_score,declared_duration_months,observed_duration_months
BOAMP:17-103816,,0,,,,,0,False,False,,,,66.0,84.36
BOAMP:17-102568,,0,,,,,0,False,False,,,,48.0,89.36
BOAMP:17-104235,BOAMP:20-97584,1,0.4605,0.4605,0.4589,0.0016000000000000458,5,False,False,0.3013,0.0,0.9498,36.0,36.3
BOAMP:17-104895,,0,,,,,0,False,False,,,,48.0,86.73
BOAMP:17-104307,BOAMP:21-169350,1,0.5674,0.5674,,,1,True,False,0.6927,0.4,0.2013,48.0,52.79
BOAMP:17-105683,,0,,,,,0,False,False,,,,2.0,84.36
BOAMP:17-106453,BOAMP:21-39936,1,0.5603,0.5603,,,1,True,False,0.258,,0.8351,48.0,47.01
BOAMP:17-106009,BOAMP:22-26998,1,0.6543,0.6543,0.5129,0.14139999999999997,17,False,False,0.3817,1.0,0.5079,48.0,50.95
BOAMP:17-106845,BOAMP:19-21081,1,0.2549,0.2549,,,1,True,False,0.2572,0.0,0.0099,14.0,19.94
BOAMP:17-109941,BOAMP:18-122920,1,0.5069,0.5069,0.5008,0.006099999999999994,3,False,False,0.4352,0.0,0.9139,12.0,12.52
BOAMP:17-110921,,0,,,,,0,False,False,,,,48.0,84.43
BOAMP:17-103068,,0,,,,,0,False,False,,,,48.0,88.7
BOAMP:17-115008,,0,,,,,0,False,False,,,,12.0,88.7
BOAMP:17-114118,BOAMP:22-72517,1,0.791,0.791,0.6165,0.1745,11,False,True,0.8742,1.0,0.2067,48.0,52.76
BOAMP:17-114694,,0,,,,,0,False,False,,,,12.0,84.63
BOAMP:17-111330,BOAMP:19-36958,1,0.6737,0.6737,0.6209,0.05279999999999996,13,False,False,0.5476,1.0,0.2733,12.0,16.36
BOAMP:17-115598,,0,,,,,0,False,False,,,,5.0,88.63
BOAMP:17-117075,BOAMP:21-133433,1,0.9381,0.9381,,,1,True,False,0.9791,1.0,0.7324,48.0,49.61
BOAMP:17-117591,,0,,,,,0,False,False,,,,48.0,88.44
BOAMP:17-118765,BOAMP:18-150422,1,0.5031,0.5031,0.4908,0.012299999999999978,12,False,False,0.5149,0.0,0.7357,12.0,10.41
BOAMP:17-119142,,0,,,,,0,False,False,,,,48.0,88.27
BOAMP:17-120212,BOAMP:18-103319,1,0.5888,0.5888,0.5053,0.08350000000000002,16,False,False,0.378,1.0,0.1881,12.0,7.13
BOAMP:17-115928,,0,,,,,0,False,False,,,,48.0,80.26
BOAMP:17-120545,,0,,,,,0,False,False,,,,12.0,85.81
BOAMP:17-123450,BOAMP:21-77546,1,0.4943,0.4943,0.4852,0.009099999999999997,6,False,False,0.5937,0.0,0.5339,48.0,45.2
BOAMP:17-123584,,0,,,,,0,False,False,,,,7.0,84.89
BOAMP:17-124242,,0,,,,,0,False,False,,,,48.0,86.14
BOAMP:17-123595,BOAMP:18-146989,1,0.5111,0.5111,0.4617,0.0494,2,False,False,0.6444,0.0,0.5166,12.0,9.1
BOAMP:17-124586,BOAMP:20-114106,1,0.9049,0.9049,0.4011,0.5038,4,False,True,1.0,1.0,0.5245,36.0,33.15
BOAMP:17-128615,,0,,,,,0,False,False,,,,24.0,87.55
