contract_id,buyer_key,cpv_div2,category_label,contract_start,declared_duration_months,dur_was_imputed,estimated_end_date,event,renewal_contract_id,observed_duration_months,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,start_date_source,link_method,type_procedure,type_marche,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:15-93928,NAME:cte d agglomeration du choletais,39.0,Cloud & Infrastructure,2015-06-22,48.0,True,2019-06-22,0,,114.32,,,,,,publication_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-95100,SIREN:247200132,31.0,Telecom & Networks,2015-06-22,48.0,True,2019-06-22,1,BOAMP:19-105444,48.59,0.6786,0.8704,0.0,True,0.9021,publication_date,sentence_transformers,OUVERT,,0,0,0,,0.6786,0.3804,0.29819999999999997,2,False,False
BOAMP:15-95253,SIREN:264400136,35.0,Cybersecurity,2015-06-22,48.0,True,2019-06-22,1,BOAMP:19-103545,48.46,0.4816,0.3671,0.0,True,0.924,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4816,0.3405,0.14109999999999995,2,False,False
BOAMP:15-95813,SIREN:214401622,48.0,Software & Applications,2015-10-14,48.0,True,2019-10-14,1,BOAMP:19-104228,44.68,0.3318,0.2313,0.0,True,0.4463,attribution_award_date,sentence_transformers,OUVERT,,0,0,0,,0.3318,,,1,True,False
BOAMP:15-96106,NAME:cnieg,72.0,IT Services & Consulting,2015-06-24,48.0,True,2019-06-24,1,BOAMP:19-103125,48.32,0.618,0.572,0.2,True,0.9459,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.618,0.5216,0.09640000000000004,3,False,False
BOAMP:15-96786,NAME:conseil general de la sarthe,72.0,IT Services & Consulting,2015-06-24,48.0,True,2019-06-24,0,,114.26,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-96870,SIREN:244900015,72.0,IT Services & Consulting,2015-06-25,48.0,True,2019-06-25,1,BOAMP:19-136955,50.53,0.6167,0.2522,1.0,True,0.5791,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.6167,0.4378,0.1789,4,False,False
BOAMP:15-98976,SIREN:110006012,48.0,Software & Applications,2015-06-29,24.0,False,2017-06-28,1,BOAMP:17-44758,25.82,0.4149,0.3139,0.0,True,0.6965,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.4149,,,1,True,False
BOAMP:15-100830,SIREN:247200132,45.0,Unknown,2015-07-01,48.0,True,2019-07-01,1,BOAMP:18-146639,44.81,0.3984,0.3868,0.0,True,0.4682,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.3984,0.3178,0.08059999999999995,2,False,False
BOAMP:15-100455,NAME:nantes metropole,35.0,Cybersecurity,2015-11-20,48.0,False,2019-11-20,1,BOAMP:19-156899,50.07,0.6917,0.4014,1.0,True,0.6557,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.6917,0.5562,0.13549999999999995,15,False,False
BOAMP:15-102510,NAME:conseil general de la sarthe,72.0,Digital Workplace & Collaboration,2016-01-26,48.0,True,2020-01-26,0,,107.16,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-105085,NAME:ccir pays de la loire,48.0,Software & Applications,2015-07-07,48.0,True,2019-07-07,1,BOAMP:19-106429,51.48,0.4209,0.342,0.2,True,0.4203,publication_date,sentence_transformers,DIALOGUE_COMPETITIF,SERVICES,0,0,0,,0.4209,,,1,True,False
BOAMP:15-104125,SIREN:214401093,48.0,Software & Applications,2015-07-08,48.0,False,2019-07-08,1,BOAMP:19-110370,48.36,0.4766,0.2212,0.2,True,0.9404,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.4766,0.4376,0.039000000000000035,3,False,False
BOAMP:15-107245,SIREN:247200132,48.0,Software & Applications,2016-02-02,48.0,True,2020-02-02,1,BOAMP:19-177021,52.04,0.4808,0.5384,0.2,True,0.3272,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4808,0.4048,0.07600000000000001,2,False,False
BOAMP:15-108955,SIREN:247200132,,Telecom & Networks,2015-07-13,48.0,True,2019-07-13,1,BOAMP:19-105444,47.9,0.8015,0.6364,,False,0.9829,publication_date,sentence_transformers,OUVERT,,0,0,0,,0.8015,0.5779,0.22360000000000002,3,False,True
BOAMP:15-108645,SIREN:218502888,32.0,Telecom & Networks,2015-07-13,48.0,True,2019-07-13,1,BOAMP:19-73211,45.86,0.3915,0.282,0.0,True,0.6435,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.3915,,,1,True,False
BOAMP:15-111481,SIREN:264400136,48.0,Software & Applications,2015-07-20,48.0,True,2019-07-20,1,BOAMP:19-59985,44.91,0.6991,0.5054,1.0,True,0.4847,publication_date,sentence_transformers,OUVERT,,0,0,0,,0.6991,0.5013,0.1978000000000001,3,False,False
BOAMP:15-111661,NAME:inra formation permanente nationale,48.0,Software & Applications,2015-07-21,36.0,False,2018-07-20,0,,113.37,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,129000.0,,,,0,False,False
BOAMP:15-114783,NAME:cnieg,72.0,IT Services & Consulting,2015-07-23,48.0,True,2019-07-23,1,BOAMP:19-103125,47.37,0.5713,0.4805,0.2,True,0.8953,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5713,0.4016,0.16970000000000002,3,False,False
BOAMP:15-115709,SIREN:214401846,72.0,IT Services & Consulting,2015-11-26,48.0,False,2019-11-26,1,BOAMP:19-187147,51.97,0.3922,0.4364,0.0,True,0.3382,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.3922,0.3813,0.01090000000000002,3,False,False
BOAMP:15-115988,SIREN:244900015,32.0,Telecom & Networks,2015-07-27,48.0,False,2019-07-27,1,BOAMP:19-85688,52.43,0.3476,0.3631,0.0,True,0.2615,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.3476,0.3328,0.014800000000000035,3,False,False
BOAMP:15-115336,NAME:d angers,72.0,IT Services & Consulting,2016-07-19,60.0,False,2021-07-19,0,,101.41,,,,,,attribution_award_date,none,DIALOGUE_COMPETITIF,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-119589,SIREN:214402158,32.0,Telecom & Networks,2015-08-03,48.0,True,2019-08-03,0,,112.94,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:15-119639,SIREN:194401006,32.0,Telecom & Networks,2015-11-03,48.0,True,2019-11-03,0,,109.92,,,,,,attribution_award_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-122609,SIREN:214400269,32.0,Telecom & Networks,2015-12-18,60.0,False,2020-12-17,1,BOAMP:21-25043,62.22,0.5402,0.3229,,False,0.6299,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5402,,,1,True,False
