buyer_name_raw,buyer_name_normalized,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note
UNICANCER ACHATS,unicancer achats,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=unicancer achats
UNIVERSITE  BRETAGNE SUD,universite bretagne sud,195617188,19561718800600,api_recherche_entreprises_current,HIGH,matched,100.0,8.4,10,UNIVERSITE DE BRETAGNE SUD (UBS),query=universite bretagne sud
UNIVERSITE DE RENNES,universite rennes,130030513,13003051300019,api_recherche_entreprises_current,HIGH,matched,100.0,12.9,10,UNIVERSITE DE RENNES,query=universite rennes
UNIVERSITE GUSTAVE EIFFEL,universite gustave eiffel,130026123,13002612300013,previous_high_confidence_cache,HIGH,matched,100.0,12.6,10,UNIVERSITE GUSTAVE EIFFEL,seeded from existing high-confidence buyer enrichment
"UNIVERSITÉ  BRETAGNE SUD
Direction des affaires financières",universite bretagne sud direction affaires financieres,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,"query=universite bretagne sud
direction affaires financieres"
URSSAF des Pays de la Loire,urssaf pays loire,535104756,53510475600015,previous_high_confidence_cache,HIGH,matched,100.0,34.4,2,URSSAF DES PAYS DE LA LOIRE,seeded from existing high-confidence buyer enrichment
UniHA GCS,uniha gcs,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,25.9,,1,GROUPEMENT COOPERATION SANITAIRE - UNION DES HOPITAUX POUR LES ACHATS (GCS UNI.H.A.),query=uniha gcs
Université Européenne de Bretagne,universite europeenne bretagne,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=universite europeenne bretagne
Université Rennes 2,universite rennes 2,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,72.0,,1,UNIVERSITE RENNES  II  HAUTE BRETAGNE,query=universite rennes 2
Université d'Angers,universite angers,194909701,19490970100303,previous_high_confidence_cache,HIGH,matched,100.0,,1,UNIVERSITE D'ANGERS,seeded from existing high-confidence buyer enrichment
